dateTime,tempMax,dew,earthSkin,precipitation,pressure,relativeHumidity,specificHumidity,temp,tempMin,tempRange,wetBulb,windSpeed2,windSpeed10,windSpeed10Max,windSpeed10Min,windSpeed10Range,windSpeed50,windSpeed50Max,windSpeed50Min,windSpeed50Range,windDirection10,windDirection50
30/01/81,26.01,8.31,17.63,0,99.77,50.62,6.84,19.29,13.72,-260.85,13.8,0.95,1.48,3.14,0.32,2.82,2.12,6.23,0.4,5.83,155.31,155.5
31/01/81,24.01,10.33,17.31,1.09,99.93,65.5,7.87,17.33,12.75,-261.88,13.83,1.37,2.3,3.87,0.7,3.17,3.83,6.72,0.68,6.04,101.62,101.44
01/02/81,23.51,10.25,16.73,0,100.22,70.56,7.81,16.35,11.09,-260.74,13.3,1.17,2.16,2.91,0.43,2.47,3.66,5.62,0.53,5.09,173.81,173.38
02/02/81,21.51,4.96,13.65,2.61,100.41,55.88,5.49,14.76,8.48,-260.12,9.86,1.62,2.54,3.91,1.08,2.83,3.63,6.09,1.47,4.63,294.12,294.19
03/02/81,22.8,0.77,13.42,0.09,100.37,38.06,4.03,15.58,8.57,-258.92,8.17,0.83,1.19,2.12,0.49,1.62,1.58,2.75,0.65,2.1,248.31,247.69
04/02/81,25.55,2.73,15.37,0,100.18,40,4.64,17.09,8.26,-255.85,9.9,0.94,1.55,3.61,0.24,3.37,2.29,5.67,0.33,5.34,167.62,167.94
05/02/81,27.29,5.09,16.87,0,100.15,41.88,5.49,18.97,10.78,-256.64,12.03,1.15,1.79,2.59,0.41,2.19,2.47,4.12,0.55,3.57,147.5,147.75
06/02/81,28.4,7.68,18.48,0.5,100.29,48.06,6.53,19.55,13.85,-258.6,13.61,1.38,2.26,3.86,1.19,2.67,3.47,8.3,1.76,6.55,259.06,258.62
07/02/81,24.83,4.87,15.76,1.76,100.17,51.44,5.43,15.96,9.09,-257.41,10.42,2.14,3.45,4.41,2.44,1.98,5.49,8.24,4.08,4.16,298.25,298.25
08/02/81,24.47,3.85,15.03,0,99.96,47.56,5,15.85,7.58,-256.27,9.85,1.6,2.66,3.45,1.77,1.69,4.1,6.43,2.18,4.26,307.81,307.75
09/02/81,24.63,3.15,15.09,0,99.97,44,4.82,16.22,8.26,-256.78,9.69,1.56,2.51,3.92,1.35,2.57,3.55,4.81,1.46,3.34,304,304.25
10/02/81,24.47,4.57,15.6,0.03,100.1,48.38,5.31,16.18,9.51,-258.2,10.37,1.26,2.17,2.91,0.92,1.98,3.23,4.95,0.98,3.97,324.44,325.31
11/02/81,25.37,3.33,15.43,0,99.82,45,4.88,16.33,7.87,-255.64,9.83,1.83,3.05,4.63,2.35,2.28,4.42,5.79,2.77,3.02,277.62,278.38
12/02/81,27.68,3.15,16.69,0,99.7,39.25,4.82,18.19,10.26,-255.74,10.67,1.77,2.84,5.2,1.42,3.78,3.98,6.51,2.07,4.44,234.25,234.5
13/02/81,28.46,4.53,17.7,0,99.71,43.31,5.31,18.45,9.33,-254.02,11.49,1.3,2.34,3.48,0.14,3.34,3.6,6.35,0.32,6.04,165.81,166.44
14/02/81,29.74,5.01,18.96,0.01,99.7,40.31,5.49,20.34,10.22,-253.62,12.68,1.45,2.44,3.73,0.83,2.91,3.68,6.45,1.2,5.25,124.81,125.25
15/02/81,31.11,6.13,20.37,0,99.66,35.19,5.98,22.83,14.37,-256.41,14.48,1.27,1.87,3.79,0.54,3.25,2.51,4.63,0.84,3.8,163.75,176.25
16/02/81,30.74,7.38,20.75,0,99.85,42.81,6.47,21.6,13.28,-255.7,14.49,1.65,2.74,3.98,1.6,2.38,4.09,6.74,2.35,4.39,252.31,251.94
17/02/81,28.88,3.6,18.9,0,99.97,38.69,4.94,19.13,12.18,-256.45,11.37,2.92,4.67,7.49,3.25,4.23,8.2,9.69,3.75,5.94,314.19,314.31
18/02/81,28.19,2.86,17.8,0,99.84,39.25,4.7,18.12,11.23,-256.19,10.49,2.7,4.44,6.21,3.25,2.96,7.57,9.1,5.17,3.93,294.94,295.69
19/02/81,28.77,2.83,18.51,0,99.93,38.06,4.7,18.69,10.8,-255.18,10.76,2.11,3.68,5,2.29,2.71,6.23,8.2,2.55,5.66,299.38,299.62
20/02/81,30.11,3.5,19.36,0,99.91,37.56,4.94,19.64,11.98,-255.01,11.57,2.38,4.01,5.62,2.96,2.66,7,8.62,3.66,4.97,304.94,305.44
21/02/81,30.24,2.96,19.4,0,99.86,36.88,4.76,19.65,11.56,-254.46,11.31,2.69,4.48,7,3.35,3.65,7.44,8.92,3.76,5.16,304.88,305.19
22/02/81,30.55,3.05,19.28,0,99.82,36.81,4.76,19.76,10.79,-253.38,11.4,2.3,3.96,6.32,2.51,3.81,6.12,7.7,2.75,4.95,304.12,304.31
23/02/81,32.01,3.64,20.2,0,99.87,34.56,5,21.39,11.46,-252.6,12.51,1.84,3.09,5.55,1.24,4.31,4.56,6.82,1.3,5.52,310.94,311.94
24/02/81,34.22,5.08,22.31,0,99.81,32.81,5.55,23.74,14.5,-253.43,14.4,1.34,2.21,3.84,0.79,3.04,3.18,5.7,1.11,4.59,213.44,214.38
25/02/81,34.3,6.35,23.27,0,99.8,35.81,6.04,23.83,16.19,-255.03,15.09,1.35,2.39,3.49,0.55,2.94,3.62,6.32,0.52,5.8,235.94,236.69
26/02/81,33.11,3.68,22.59,0,99.77,32.69,5,22.68,14.18,-254.22,13.18,2.34,3.98,6.38,2.34,4.02,6.66,8.05,2.55,5.5,318.94,319.12
27/02/81,31.94,6.21,23.08,0,99.76,35.69,5.98,23.2,14.47,-255.67,14.71,2.29,3.67,6.27,1.79,4.48,5.79,8.32,2.59,5.73,283.25,282.94
28/02/81,33.74,7.1,23.69,0,99.63,37.19,6.35,23.94,15.19,-254.6,15.52,1.87,3,4.47,1.28,3.19,4.7,8.63,1.82,6.81,204.06,203.75
01/03/81,32.06,8.74,23.86,0.29,99.84,41.94,7.08,23.35,16.22,-257.31,16.05,1.75,2.85,4.61,0.66,3.95,4.76,8.71,0.75,7.96,182.94,182.06
02/03/81,30.08,4.06,21.26,0.1,99.98,37.75,5.25,21.05,13.84,-256.91,12.55,3.55,5.42,8.55,3.14,5.41,8.91,10.76,5.01,5.75,307.88,308.31
03/03/81,31.87,0.15,20.35,0,100.11,30,3.91,20.38,11.38,-252.66,10.26,2.9,4.7,7.06,3.51,3.55,7.56,9.2,5.55,3.65,294.69,295.56
04/03/81,32.57,3.93,21.65,0,100.16,33.06,5.19,22.04,11.06,-251.64,12.98,2.1,3.42,5.52,1.23,4.29,5.13,7.29,1.74,5.54,269.19,268.94
05/03/81,34.25,7.17,24.46,0,100.08,34.62,6.41,24.79,17.69,-256.6,15.98,1,1.73,3.11,0.44,2.67,2.65,5.92,0.64,5.28,196.69,224.38
06/03/81,35.63,7.51,26.53,0,100,33.81,6.53,25.85,17.01,-254.53,16.68,1.22,2.29,3.45,0.33,3.12,4.03,6.87,0.49,6.38,158.88,159.62
07/03/81,35.26,8.23,26.44,0,99.96,32.88,6.84,26.94,19.4,-257.29,17.58,2.02,3.04,4.93,0.42,4.52,4.63,8.3,0.56,7.74,179.12,179.31
