-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  23.0705   Longitude 72.6235 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,32.74,23.66,16.23,24.46,39.62,100.66,8.44
1981,1,31,29.87,20.52,13.2,21.29,24.56,100.78,-3.58
1981,2,1,28.83,18.56,9.97,19.13,17.0,101.13,-7.96
1981,2,2,29.18,18.76,9.08,19.08,20.62,101.13,-5.92
1981,2,3,32.55,21.55,10.51,20.84,16.69,100.9,-6.55
1981,2,4,32.51,22.63,13.61,22.63,25.56,100.8,-0.14
1981,2,5,30.24,21.62,15.16,22.92,42.56,101.08,6.31
1981,2,6,31.57,19.8,9.81,20.58,24.38,101.23,-3.19
1981,2,7,32.3,20.37,11.44,21.18,17.31,100.98,-6.6
1981,2,8,32.06,20.26,10.22,21.29,17.5,100.78,-6.99
1981,2,9,31.79,20.55,11.05,21.31,17.12,100.84,-6.62
1981,2,10,31.99,20.73,11.05,20.95,15.06,100.92,-7.74
1981,2,11,33.45,21.5,10.72,22.01,13.94,100.72,-8.56
1981,2,12,34.58,23.3,14.0,23.07,14.12,100.54,-6.5
1981,2,13,33.05,22.2,12.84,23.0,40.44,100.52,5.8
1981,2,14,31.58,22.89,14.45,23.76,53.06,100.64,10.73
1981,2,15,32.89,23.38,15.19,24.78,37.19,100.67,6.4
1981,2,16,33.12,22.51,13.36,23.73,20.5,100.83,-3.11
1981,2,17,34.9,24.15,15.59,25.12,13.88,100.85,-5.85
