-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  13.2046   Longitude 77.7014 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,31.01,21.61,14.45,23.15,58.06,91.95,10.58
1981,1,31,32.59,22.07,13.32,23.38,49.5,91.95,7.08
1981,2,1,32.97,22.26,12.55,24.51,48.62,91.94,6.94
1981,2,2,32.37,22.51,13.65,24.73,50.5,91.91,8.55
1981,2,3,31.58,22.47,15.24,24.61,53.81,91.94,9.42
1981,2,4,30.86,21.63,14.3,23.52,55.5,91.92,9.26
1981,2,5,32.18,22.58,14.89,25.01,56.0,92.03,9.96
1981,2,6,32.1,23.73,16.72,25.87,56.0,92.07,12.61
1981,2,7,33.3,24.01,15.6,26.23,53.44,91.91,11.35
1981,2,8,32.34,23.87,16.6,26.05,52.88,91.84,11.45
1981,2,9,33.19,23.87,15.83,26.19,42.62,91.79,7.59
1981,2,10,34.41,24.32,15.03,26.88,44.31,91.76,8.27
1981,2,11,34.14,24.47,15.77,26.77,43.94,91.71,8.83
1981,2,12,33.98,24.83,15.47,27.7,45.88,91.72,9.95
1981,2,13,33.76,25.04,16.51,28.06,46.94,91.7,10.36
1981,2,14,33.92,25.63,17.26,29.13,41.06,91.77,9.77
1981,2,15,33.98,24.55,15.9,27.36,40.44,91.78,7.36
1981,2,16,34.02,23.75,14.73,25.93,35.06,91.86,2.85
1981,2,17,33.24,22.33,12.41,24.17,32.94,91.92,-0.1
1981,2,18,33.32,22.14,11.33,23.74,31.0,91.86,-0.68
1981,2,19,32.87,22.32,12.15,24.16,31.06,91.91,0.52
1981,2,20,33.73,23.21,13.57,24.9,34.56,91.94,3.26
1981,2,21,33.82,23.79,14.23,25.53,39.06,91.81,6.33
1981,2,22,33.42,23.68,14.24,25.45,44.0,91.76,7.43
1981,2,23,32.81,22.75,13.66,24.68,47.44,91.87,7.15
1981,2,24,33.7,22.94,12.12,24.65,38.75,91.98,3.15
1981,2,25,34.88,24.24,14.33,25.76,27.81,92.01,0.69
1981,2,26,35.7,25.14,15.58,26.77,24.5,91.96,0.51
1981,2,27,35.58,25.19,15.6,26.82,24.81,91.95,0.8
1981,2,28,35.91,25.44,15.93,27.17,28.56,91.93,2.65
1981,3,1,35.86,25.11,14.9,26.9,31.19,91.99,2.51
1981,3,2,35.12,25.11,15.44,26.78,38.19,92.01,5.74
1981,3,3,35.39,25.62,15.83,27.38,36.12,92.03,5.91
1981,3,4,34.99,25.39,16.04,27.41,38.06,92.07,6.05
1981,3,5,33.98,24.46,15.71,26.55,42.38,92.08,6.65
1981,3,6,34.33,24.21,13.23,26.26,39.0,92.07,5.55
1981,3,7,34.58,25.08,14.68,27.27,46.12,92.09,9.62
1981,3,8,35.6,26.14,17.32,28.91,47.94,91.97,11.12
1981,3,9,35.4,26.07,16.62,28.94,44.56,91.91,9.97
1981,3,10,35.09,27.23,19.12,30.31,46.75,91.9,12.61
1981,3,11,32.26,25.4,19.48,27.32,59.62,91.94,16.13
1981,3,12,30.76,24.13,17.93,26.1,65.75,91.97,16.38
1981,3,13,33.12,24.85,17.81,26.74,56.94,91.92,14.28
