-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  20.2518   Longitude 85.8141 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 72.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,30.79,22.48,16.11,22.76,69.88,100.42,15.76
1981,1,31,31.2,23.6,17.59,23.97,77.44,100.41,18.78
1981,2,1,30.72,24.39,19.51,24.73,78.44,100.47,19.84
1981,2,2,28.77,23.05,19.38,23.69,77.94,100.62,18.5
1981,2,3,28.8,22.48,16.81,23.42,72.94,100.72,16.72
1981,2,4,28.94,21.97,15.55,22.73,70.31,100.69,15.47
1981,2,5,30.55,22.65,16.76,23.27,67.88,100.76,15.28
1981,2,6,32.4,23.62,16.32,23.93,64.69,100.81,14.86
1981,2,7,32.58,24.04,17.48,24.46,64.31,100.57,15.3
1981,2,8,33.76,24.83,17.7,25.49,64.0,100.36,15.72
1981,2,9,32.4,24.23,18.44,24.83,71.88,100.36,17.56
1981,2,10,27.94,21.8,14.53,21.81,73.81,100.36,16.44
1981,2,11,28.09,18.89,10.43,19.01,50.38,100.37,6.85
1981,2,12,29.38,20.59,11.8,20.18,46.5,100.34,7.52
1981,2,13,31.68,22.4,14.77,22.15,52.69,100.23,10.67
1981,2,14,32.5,23.33,14.77,23.05,56.0,100.31,12.01
1981,2,15,33.83,24.12,16.21,23.48,47.38,100.24,10.07
1981,2,16,34.57,25.12,16.33,24.4,45.69,100.35,10.69
1981,2,17,34.77,25.48,16.27,25.34,46.56,100.35,11.8
1981,2,18,34.35,24.95,16.44,24.86,48.44,100.36,11.45
1981,2,19,34.12,24.85,15.73,24.44,47.5,100.41,10.8
1981,2,20,34.19,24.67,15.53,24.55,47.0,100.42,10.43
1981,2,21,34.05,24.83,16.75,25.37,55.56,100.35,12.84
1981,2,22,33.56,25.04,18.94,26.15,63.25,100.38,15.49
1981,2,23,34.47,25.21,17.84,26.01,57.06,100.46,13.39
1981,2,24,35.84,26.02,17.14,26.01,49.06,100.48,11.39
1981,2,25,36.96,27.14,18.75,27.02,45.19,100.4,11.95
1981,2,26,37.92,27.99,19.76,28.19,46.19,100.27,12.76
1981,2,27,37.54,27.77,19.51,28.56,51.19,100.27,13.7
1981,2,28,37.69,27.8,20.14,28.86,54.19,100.31,14.72
1981,3,1,38.23,28.35,20.86,29.28,58.12,100.32,16.7
1981,3,2,37.85,27.76,19.33,28.73,48.94,100.36,12.63
1981,3,3,35.76,25.82,16.5,26.63,36.81,100.6,7.21
1981,3,4,34.77,25.32,16.46,26.43,49.88,100.72,11.39
1981,3,5,35.55,25.99,18.52,27.58,57.94,100.66,13.92
1981,3,6,36.46,26.76,18.69,28.48,57.06,100.65,14.76
