-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  12.9947   Longitude 80.1765 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 48.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,28.2,23.86,20.91,24.26,73.88,100.81,18.66
1981,1,31,28.94,23.8,20.08,24.21,72.62,100.8,18.28
1981,2,1,29.12,23.7,19.56,24.35,77.12,100.81,19.1
1981,2,2,28.87,23.86,20.24,24.93,79.69,100.79,19.81
1981,2,3,28.81,24.03,20.87,24.8,81.38,100.83,20.34
1981,2,4,27.12,23.68,20.73,23.94,81.31,100.81,20.08
1981,2,5,28.17,24.39,21.44,25.19,80.0,100.93,20.53
1981,2,6,29.16,24.83,21.54,25.9,76.56,100.96,20.15
1981,2,7,29.6,24.93,21.33,25.92,77.31,100.79,20.38
1981,2,8,29.7,24.77,21.48,25.73,76.5,100.69,19.84
1981,2,9,29.23,24.31,21.25,24.86,78.69,100.64,19.9
1981,2,10,31.42,25.1,20.4,26.03,73.69,100.57,19.32
1981,2,11,30.86,25.1,21.33,26.33,73.81,100.54,19.48
1981,2,12,30.76,25.04,20.79,26.43,74.31,100.57,19.55
1981,2,13,30.07,24.5,20.62,25.99,75.19,100.55,19.21
1981,2,14,30.8,24.51,20.36,25.87,72.12,100.61,18.34
1981,2,15,30.59,24.38,19.85,25.63,73.38,100.63,18.55
1981,2,16,31.08,24.33,19.48,25.41,67.94,100.72,16.76
1981,2,17,30.51,23.94,18.58,25.01,66.19,100.79,16.15
