-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  28.5519   Longitude 77.0853 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,23.08,15.05,8.87,15.48,64.31,98.55,7.4
1981,1,31,23.49,15.17,8.39,15.79,60.69,98.72,6.28
1981,2,1,21.23,12.69,6.84,13.15,56.12,99.14,2.97
1981,2,2,20.37,11.94,4.03,11.75,49.12,99.2,0.38
1981,2,3,23.22,14.04,7.36,13.9,45.25,99.06,1.07
1981,2,4,25.98,15.37,7.23,15.21,48.69,98.84,2.78
1981,2,5,25.3,15.79,9.42,15.95,52.0,98.98,4.69
1981,2,6,23.19,14.17,7.33,14.78,61.06,99.29,5.05
1981,2,7,22.65,13.48,6.55,13.94,63.81,99.03,5.58
1981,2,8,23.14,13.72,6.34,13.97,53.19,98.76,2.9
1981,2,9,23.64,14.11,6.35,14.1,47.62,98.79,1.8
1981,2,10,24.86,14.45,6.33,14.54,46.44,98.94,1.62
1981,2,11,25.98,15.62,7.09,15.34,42.44,98.59,1.19
1981,2,12,29.4,18.29,9.54,17.52,37.94,98.4,1.81
1981,2,13,30.1,18.62,8.93,17.87,37.44,98.32,1.89
1981,2,14,29.15,20.19,10.77,19.94,41.56,98.41,5.98
1981,2,15,29.05,20.98,14.8,20.28,41.12,98.49,6.38
1981,2,16,28.62,18.95,11.58,19.33,46.06,98.76,5.58
1981,2,17,27.33,17.54,9.91,17.94,43.75,98.91,3.36
1981,2,18,28.08,17.55,9.73,17.78,42.56,98.73,2.75
1981,2,19,28.98,18.15,9.57,18.29,39.31,98.79,2.34
1981,2,20,29.87,19.12,10.94,19.36,38.0,98.83,2.68
1981,2,21,29.74,19.01,10.68,19.13,37.94,98.71,2.63
1981,2,22,30.11,19.46,11.58,19.46,36.31,98.63,2.34
1981,2,23,30.1,20.35,13.11,20.06,36.12,98.68,3.3
1981,2,24,33.36,21.73,13.37,21.16,33.31,98.52,2.67
1981,2,25,32.71,22.33,14.17,22.66,30.81,98.66,2.94
1981,2,26,30.52,20.98,12.9,21.21,32.19,98.68,2.19
1981,2,27,29.89,20.01,13.72,20.65,42.75,98.56,5.8
1981,2,28,28.63,20.14,13.41,21.06,56.0,98.45,10.19
1981,3,1,28.86,19.83,13.3,20.75,54.44,98.76,8.76
1981,3,2,28.18,18.38,10.32,18.77,44.62,98.94,4.01
1981,3,3,29.94,19.13,9.43,19.43,37.06,98.98,1.87
1981,3,4,31.98,21.56,12.1,22.12,36.56,98.99,4.8
1981,3,5,33.66,23.3,14.59,23.73,38.62,98.83,6.75
1981,3,6,32.55,23.74,15.59,22.71,34.0,98.7,5.8
1981,3,7,32.35,22.58,15.01,22.74,31.62,98.87,2.45
1981,3,8,25.24,17.9,11.59,17.98,29.0,98.77,-1.65
1981,3,9,29.92,20.04,11.6,20.36,27.69,98.6,-0.52
1981,3,10,31.59,22.07,12.81,21.65,28.12,98.47,1.2
1981,3,11,30.48,21.66,13.51,21.83,32.44,98.63,3.26
1981,3,12,30.04,21.7,14.89,23.08,31.5,98.76,3.25
1981,3,13,31.44,22.09,13.06,23.72,32.31,98.82,3.5
1981,3,14,29.8,22.31,16.53,22.55,37.31,98.86,6.37
1981,3,15,26.61,20.58,16.15,21.58,53.44,99.14,10.2
1981,3,16,26.27,20.16,15.28,21.3,59.44,98.92,11.4
1981,3,17,30.46,21.3,12.94,22.37,47.94,98.45,8.33
1981,3,18,33.76,23.7,13.74,24.83,38.19,98.26,6.83
1981,3,19,28.41,22.02,17.64,21.83,45.56,98.31,9.2
1981,3,20,30.2,22.4,16.06,22.79,54.69,98.18,11.94
1981,3,21,30.83,22.87,16.39,22.86,50.81,98.14,9.16
1981,3,22,31.02,21.84,15.35,22.61,40.69,98.2,5.63
1981,3,23,29.98,20.86,12.45,22.15,42.56,98.13,6.02
1981,3,24,31.12,21.52,12.48,22.73,41.44,98.22,6.05
1981,3,25,33.25,23.2,14.24,23.98,31.25,98.31,3.17
1981,3,26,34.12,24.55,17.71,25.19,30.38,98.2,4.58
1981,3,27,33.89,24.98,17.25,24.91,29.62,98.01,5.08
1981,3,28,38.94,28.43,20.53,28.66,26.31,97.97,5.58
1981,3,29,39.01,29.01,18.97,29.26,22.88,97.99,4.48
1981,3,30,36.59,29.29,22.21,29.17,25.62,97.89,6.86
1981,3,31,34.44,25.87,19.93,27.0,42.75,97.93,11.13
1981,4,1,34.73,25.33,16.62,26.2,34.81,98.05,6.87
1981,4,2,37.02,27.62,19.04,28.61,29.81,98.03,6.83
