-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  17.2388   Longitude 78.4242 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 556.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,33.51,24.13,15.12,25.65,49.25,94.97,10.39
1981,1,31,33.17,24.51,15.87,25.3,47.38,94.98,10.76
1981,2,1,32.65,23.19,15.41,24.61,33.44,95.04,4.31
1981,2,2,31.93,22.08,13.37,23.62,25.75,95.05,0.23
1981,2,3,32.18,22.83,15.06,24.69,41.44,95.09,7.08
1981,2,4,32.73,23.26,14.55,24.87,46.75,95.08,8.86
1981,2,5,32.26,23.94,16.15,25.87,55.75,95.18,12.69
1981,2,6,32.78,24.04,16.65,25.86,51.25,95.28,10.56
1981,2,7,33.58,24.15,15.74,25.69,45.44,95.08,8.87
1981,2,8,34.76,24.98,15.93,26.82,39.38,94.89,7.22
1981,2,9,34.13,25.16,15.6,26.16,42.69,94.84,8.9
1981,2,10,34.01,23.68,15.74,24.93,32.56,94.88,2.22
1981,2,11,33.83,22.9,13.81,24.32,12.62,94.86,-8.67
1981,2,12,34.66,23.4,13.47,24.48,13.5,94.81,-7.75
1981,2,13,34.21,23.78,13.8,25.25,38.69,94.78,4.13
1981,2,14,34.58,24.32,14.73,25.76,34.88,94.85,3.12
1981,2,15,34.83,24.78,14.78,26.46,32.94,94.83,4.81
1981,2,16,35.04,25.65,16.76,27.83,36.0,94.94,7.19
1981,2,17,35.32,25.62,16.97,27.33,27.88,95.0,3.72
1981,2,18,35.19,25.42,16.15,27.24,26.06,94.93,3.27
1981,2,19,35.38,25.74,16.69,27.65,28.62,94.95,4.26
1981,2,20,35.98,26.29,16.86,28.57,30.38,94.95,5.8
1981,2,21,35.44,26.76,17.98,28.82,34.0,94.87,8.36
1981,2,22,34.87,26.26,18.62,28.12,39.31,94.86,9.41
1981,2,23,35.03,25.66,17.03,27.49,43.12,94.99,9.51
1981,2,24,35.81,26.09,16.81,28.14,39.06,95.1,8.35
1981,2,25,36.71,26.91,17.51,28.9,31.38,95.08,6.13
1981,2,26,37.15,27.48,17.9,30.15,27.19,94.99,4.96
1981,2,27,37.18,27.84,18.61,29.87,23.94,94.97,3.67
1981,2,28,37.48,28.09,18.8,30.23,26.69,94.95,5.1
1981,3,1,37.3,28.08,18.56,30.37,28.0,95.04,5.33
1981,3,2,37.65,27.94,19.89,30.07,26.25,95.07,4.0
1981,3,3,36.83,26.87,17.98,28.33,13.56,95.17,-5.02
1981,3,4,35.29,26.46,18.2,28.05,17.25,95.21,-1.05
1981,3,5,36.08,26.81,18.12,29.05,30.81,95.18,6.23
1981,3,6,36.3,26.82,17.8,28.82,33.31,95.17,6.21
1981,3,7,36.26,26.44,16.95,28.15,28.56,95.2,4.3
1981,3,8,36.94,27.27,17.82,29.64,27.75,95.02,4.06
1981,3,9,36.71,27.62,19.73,29.69,40.5,94.92,10.21
1981,3,10,37.23,28.69,19.51,31.44,45.25,94.88,12.94
1981,3,11,34.46,27.73,23.09,29.67,50.19,94.95,15.32
1981,3,12,28.26,23.63,20.58,24.62,63.38,95.07,16.07
1981,3,13,32.62,25.49,18.18,27.29,62.81,95.02,16.63
1981,3,14,34.01,25.92,18.66,27.58,56.75,95.06,15.28
1981,3,15,34.2,25.69,18.05,27.38,54.12,95.14,13.82
1981,3,16,34.41,26.38,19.64,28.58,49.88,94.99,13.34
1981,3,17,34.56,26.48,18.57,28.47,53.0,94.75,14.77
1981,3,18,35.94,28.66,21.66,30.89,49.06,94.66,15.73
1981,3,19,36.51,29.32,22.47,31.46,41.44,94.66,13.99
1981,3,20,31.75,27.24,23.29,27.56,49.25,94.72,15.16
1981,3,21,33.59,27.12,21.54,28.44,58.0,94.63,17.27
1981,3,22,33.29,26.75,21.37,28.29,62.62,94.55,18.26
1981,3,23,35.77,28.19,20.09,29.78,52.44,94.4,15.96
1981,3,24,36.71,27.89,19.56,30.3,48.25,94.46,13.35
1981,3,25,36.01,28.58,21.02,31.16,52.0,94.57,15.94
1981,3,26,37.2,29.74,22.1,32.59,42.12,94.56,13.81
1981,3,27,36.25,28.9,21.89,30.94,48.94,94.53,16.05
1981,3,28,35.85,28.84,23.09,30.9,52.06,94.61,16.99
1981,3,29,37.88,30.0,22.61,32.22,43.56,94.66,15.1
1981,3,30,36.65,28.88,22.12,30.6,43.25,94.69,13.7
1981,3,31,34.8,28.6,21.43,30.48,42.38,94.56,13.6
1981,4,1,39.21,31.15,21.83,33.76,35.25,94.44,12.36
1981,4,2,40.47,32.12,22.77,34.9,27.5,94.56,9.41
1981,4,3,39.73,32.19,23.88,34.92,38.75,94.58,15.03
1981,4,4,40.43,32.93,24.31,36.65,34.19,94.46,13.65
1981,4,5,40.37,33.43,25.68,36.6,32.62,94.37,13.65
1981,4,6,39.24,33.27,27.6,35.96,32.5,94.48,14.01
1981,4,7,40.31,33.77,26.84,37.02,30.75,94.48,13.23
1981,4,8,40.37,32.53,25.24,35.55,27.88,94.56,9.62
1981,4,9,41.14,31.56,22.62,34.68,24.56,94.54,5.69
1981,4,10,40.95,31.1,21.02,34.3,23.0,94.47,4.69
1981,4,11,41.21,31.42,21.03,34.72,23.0,94.43,4.98
1981,4,12,41.3,31.43,21.53,34.57,34.31,94.5,10.1
1981,4,13,41.91,32.56,22.75,35.59,32.69,94.48,10.98
1981,4,14,42.51,33.65,23.71,36.0,29.44,94.38,10.23
1981,4,15,43.65,33.51,23.63,35.35,19.31,94.31,3.08
1981,4,16,43.15,33.41,23.67,35.52,26.62,94.34,8.12
1981,4,17,43.21,34.21,23.7,35.21,16.25,94.3,1.86
1981,4,18,43.16,33.65,22.94,35.69,16.0,94.39,2.95
1981,4,19,42.89,33.77,23.93,35.44,20.44,94.51,6.37
1981,4,20,42.93,33.81,23.48,36.19,19.5,94.5,5.77
1981,4,21,42.38,34.14,26.15,36.23,19.81,94.41,7.11
1981,4,22,41.07,33.82,26.98,36.21,25.0,94.49,10.15
1981,4,23,40.37,32.88,26.02,36.6,36.12,94.61,14.69
1981,4,24,37.08,29.85,23.28,31.62,49.12,94.85,16.71
1981,4,25,38.67,31.33,23.42,34.29,39.94,94.73,14.56
1981,4,26,39.03,31.16,24.01,33.95,39.38,94.71,14.39
1981,4,27,38.37,30.7,23.16,33.75,41.5,94.75,14.49
1981,4,28,39.01,31.26,23.51,34.05,38.06,94.7,13.71
1981,4,29,38.08,30.52,23.67,32.64,36.31,94.6,12.16
1981,4,30,36.8,29.79,23.72,31.55,40.0,94.7,13.9
1981,5,1,35.56,29.16,22.92,30.41,44.88,94.88,14.68
1981,5,2,34.47,29.26,23.7,29.9,44.12,94.79,15.12
1981,5,3,37.14,30.0,23.05,31.38,42.19,94.63,14.72
1981,5,4,37.03,30.82,25.05,33.12,43.06,94.58,15.86
1981,5,5,38.48,31.38,24.23,34.31,40.12,94.48,14.95
1981,5,6,38.02,31.59,25.82,34.3,42.19,94.33,16.26
1981,5,7,35.31,30.15,25.0,32.94,49.94,94.32,17.66
1981,5,8,34.15,28.3,24.48,29.82,57.0,94.38,18.23
1981,5,9,34.24,27.82,23.07,29.76,65.94,94.41,19.97
1981,5,10,33.9,28.22,22.5,30.33,64.06,94.38,19.94
1981,5,11,35.33,29.07,23.31,31.15,59.75,94.36,19.42
1981,5,12,35.75,29.77,22.62,31.25,56.06,94.3,18.79
1981,5,13,38.02,31.61,24.41,32.98,46.56,94.21,17.55
1981,5,14,38.78,31.83,25.68,33.18,46.44,94.3,18.18
1981,5,15,40.45,32.29,25.13,33.55,44.19,94.17,16.59
1981,5,16,40.03,33.05,25.82,33.83,39.38,94.06,16.21
1981,5,17,40.62,33.3,26.48,34.9,37.44,94.12,15.55
1981,5,18,40.92,33.12,26.01,34.62,34.44,94.16,13.9
1981,5,19,41.15,32.81,25.0,34.36,29.56,94.11,11.58
1981,5,20,39.83,31.85,24.61,33.82,34.75,94.15,12.88
1981,5,21,40.01,32.01,24.23,34.19,34.94,94.21,13.35
1981,5,22,40.65,33.38,26.08,35.83,35.0,94.25,14.93
1981,5,23,32.73,29.76,27.51,31.55,47.44,94.42,17.32
1981,5,24,39.15,32.55,25.47,35.04,41.31,94.21,16.82
1981,5,25,41.48,33.94,27.02,35.92,33.5,94.15,14.55
1981,5,26,42.51,35.05,28.54,36.9,30.06,94.18,13.98
1981,5,27,41.76,34.91,28.6,37.05,32.81,94.14,14.85
1981,5,28,41.4,34.65,28.97,37.15,35.62,94.13,15.85
1981,5,29,39.24,33.14,27.08,36.67,45.5,94.19,18.81
1981,5,30,39.11,32.87,26.23,36.29,45.06,94.22,18.28
