-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  22.7226   Longitude 75.8055 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 402.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,32.24,22.69,14.38,23.41,34.06,96.58,5.05
1981,1,31,29.23,20.97,14.63,21.92,34.06,96.63,2.6
1981,2,1,27.99,17.83,9.98,18.76,18.31,96.94,-7.85
1981,2,2,27.46,17.53,8.48,18.43,23.62,97.02,-5.1
1981,2,3,30.52,20.09,9.57,20.05,22.69,96.9,-4.13
1981,2,4,33.15,21.28,10.83,21.27,22.44,96.77,-2.67
1981,2,5,32.57,21.68,12.05,22.57,23.38,96.88,-1.83
1981,2,6,32.67,22.16,13.54,23.57,35.06,97.02,4.3
1981,2,7,32.65,21.6,12.4,22.26,19.81,96.84,-3.6
1981,2,8,32.17,20.37,11.65,21.26,14.25,96.61,-9.55
1981,2,9,31.12,19.94,10.94,21.08,18.0,96.69,-6.82
1981,2,10,30.52,19.35,10.8,20.37,16.25,96.84,-8.36
1981,2,11,31.65,20.66,10.13,20.79,16.75,96.69,-7.68
1981,2,12,34.1,22.48,13.94,22.04,11.31,96.5,-10.15
1981,2,13,33.68,22.12,12.36,22.79,15.69,96.46,-6.72
1981,2,14,31.8,21.5,12.56,22.52,30.88,96.59,2.12
1981,2,15,32.87,22.74,13.71,23.91,29.94,96.6,2.4
1981,2,16,33.37,23.62,15.01,24.98,28.19,96.72,2.55
1981,2,17,34.58,24.69,17.23,25.76,17.5,96.75,-2.09
1981,2,18,33.77,24.54,15.8,24.79,21.31,96.66,0.14
1981,2,19,34.82,25.12,16.9,26.08,22.75,96.67,1.58
1981,2,20,35.27,25.21,16.33,26.41,21.44,96.73,0.65
1981,2,21,35.32,25.55,16.57,26.74,18.69,96.66,-0.95
1981,2,22,36.03,26.01,16.4,26.72,18.12,96.55,-0.83
1981,2,23,36.65,27.63,19.01,27.91,21.94,96.58,3.37
1981,2,24,36.97,27.13,18.54,27.99,21.5,96.72,1.35
1981,2,25,35.93,26.12,17.74,27.16,19.94,96.81,0.45
1981,2,26,36.15,25.89,16.83,27.08,17.25,96.72,-1.74
1981,2,27,36.24,26.04,17.81,26.99,17.25,96.66,-1.95
1981,2,28,36.24,25.91,17.22,26.75,18.56,96.61,-0.95
1981,3,1,35.42,25.52,17.26,26.74,23.0,96.78,1.18
1981,3,2,34.93,24.33,15.69,25.68,13.75,96.95,-6.1
1981,3,3,36.06,25.42,15.87,26.74,14.81,97.04,-3.92
1981,3,4,36.29,26.48,17.9,27.35,17.81,97.07,-0.85
1981,3,5,36.9,27.85,18.17,28.15,18.31,96.92,0.44
1981,3,6,38.04,28.72,20.16,28.61,16.0,96.8,-0.74
1981,3,7,37.19,27.96,20.15,29.69,18.25,96.81,0.75
1981,3,8,36.91,27.51,19.85,28.94,16.75,96.63,-0.89
1981,3,9,36.43,26.56,19.08,28.03,12.0,96.53,-5.89
1981,3,10,34.59,25.26,16.4,26.47,18.0,96.58,-1.27
1981,3,11,33.67,24.69,16.6,25.73,24.62,96.61,2.29
1981,3,12,34.3,25.28,16.42,27.12,29.25,96.6,5.12
1981,3,13,33.62,25.28,17.11,26.98,24.81,96.65,2.12
1981,3,14,34.4,26.81,18.89,28.4,18.94,96.74,0.22
1981,3,15,27.03,23.3,18.62,24.21,46.5,96.97,10.51
1981,3,16,33.8,25.4,16.7,27.61,47.19,96.75,11.37
1981,3,17,36.62,28.22,18.76,30.02,37.94,96.36,11.67
1981,3,18,36.87,28.9,20.9,30.78,33.31,96.24,9.76
1981,3,19,35.3,27.49,21.03,29.34,34.75,96.32,9.44
1981,3,20,28.83,24.05,19.76,24.73,40.5,96.42,9.54
1981,3,21,34.19,24.67,16.66,26.45,39.75,96.35,7.14
1981,3,22,35.57,25.48,16.68,27.09,20.44,96.23,-0.24
1981,3,23,35.02,24.7,15.48,26.65,21.69,96.18,-1.42
1981,3,24,35.01,24.76,14.84,26.95,23.75,96.26,0.08
1981,3,25,36.4,26.69,16.42,28.54,20.25,96.34,0.19
1981,3,26,38.25,27.65,17.04,29.69,19.06,96.26,-0.0
1981,3,27,39.56,29.67,19.87,31.44,20.88,96.1,3.93
1981,3,28,40.15,30.11,19.65,31.89,22.69,96.16,4.05
1981,3,29,40.51,30.62,21.12,32.49,24.75,96.24,6.69
1981,3,30,38.23,29.13,20.41,30.9,28.06,96.28,6.19
1981,3,31,38.33,29.33,20.52,31.46,34.06,96.12,10.17
1981,4,1,38.68,29.69,20.78,32.4,34.69,96.1,10.53
1981,4,2,38.23,29.07,20.63,31.17,30.81,96.29,8.01
1981,4,3,37.63,28.41,19.87,30.19,24.38,96.33,4.73
1981,4,4,38.69,28.44,19.2,30.13,14.12,96.23,-2.83
1981,4,5,38.9,27.68,17.23,29.62,7.94,96.18,-10.53
1981,4,6,39.69,28.25,17.1,30.13,7.38,96.31,-10.86
1981,4,7,40.84,29.77,18.12,31.57,7.44,96.3,-9.74
1981,4,8,41.18,30.72,18.76,31.98,8.12,96.31,-8.15
1981,4,9,42.69,31.29,20.02,33.64,6.81,96.22,-9.38
1981,4,10,43.12,31.87,20.26,33.94,8.38,96.11,-6.74
1981,4,11,43.83,33.22,22.58,35.31,11.44,96.04,-2.35
1981,4,12,44.77,34.32,24.48,35.9,10.31,96.05,-2.36
1981,4,13,45.63,34.73,24.2,36.47,12.38,96.07,0.07
1981,4,14,44.69,34.38,24.74,36.17,12.19,96.07,-0.71
1981,4,15,43.45,33.11,23.38,35.15,16.56,96.08,1.7
1981,4,16,42.51,32.61,22.9,34.58,21.19,96.06,5.01
1981,4,17,43.46,33.36,23.09,35.42,24.19,95.92,7.19
1981,4,18,42.66,33.03,23.51,35.16,28.62,96.05,9.8
1981,4,19,42.48,32.99,23.58,35.33,30.31,96.21,10.69
1981,4,20,42.46,33.48,24.15,36.02,27.12,96.24,9.43
1981,4,21,40.73,32.24,24.12,34.6,28.38,96.18,9.73
1981,4,22,39.49,31.58,24.22,34.0,30.38,96.23,9.7
1981,4,23,38.98,31.12,23.37,33.12,22.69,96.33,5.73
1981,4,24,41.9,32.8,23.48,35.82,18.5,96.38,4.15
1981,4,25,43.05,33.72,23.95,36.62,11.5,96.32,-1.56
1981,4,26,43.12,34.01,23.58,36.96,14.88,96.23,2.22
1981,4,27,43.45,35.26,27.35,38.05,14.38,96.23,3.07
1981,4,28,41.06,32.77,25.92,35.48,24.12,96.31,8.39
1981,4,29,34.48,29.82,26.41,31.68,34.5,96.39,12.1
1981,4,30,36.79,30.2,24.08,32.32,39.25,96.48,13.98
1981,5,1,41.17,32.87,24.44,36.04,31.5,96.49,11.94
1981,5,2,42.22,33.52,25.42,36.12,20.81,96.33,6.58
1981,5,3,41.96,34.19,26.01,36.57,21.12,96.16,8.01
1981,5,4,42.56,33.4,24.46,35.97,24.44,96.14,8.48
1981,5,5,40.44,32.58,24.69,35.3,30.88,96.15,11.26
1981,5,6,41.26,32.97,24.04,36.55,24.5,96.02,8.55
1981,5,7,41.19,33.04,23.69,36.78,25.5,95.89,9.03
1981,5,8,40.35,32.93,24.83,36.15,32.19,95.88,13.0
1981,5,9,39.39,32.81,25.9,36.59,33.25,95.97,13.51
1981,5,10,39.45,32.94,25.29,36.16,30.12,95.92,12.1
1981,5,11,40.58,33.37,25.26,36.79,30.44,95.94,11.8
1981,5,12,41.49,34.01,25.8,37.18,28.44,95.89,11.47
1981,5,13,42.41,34.24,25.21,37.17,30.19,95.83,12.01
1981,5,14,43.23,35.08,26.32,38.05,26.56,95.96,10.8
1981,5,15,42.47,34.66,26.51,36.95,19.62,95.86,6.43
1981,5,16,42.58,34.58,26.24,37.23,23.88,95.74,9.42
1981,5,17,42.01,33.69,25.81,36.33,29.75,95.82,11.3
1981,5,18,41.55,33.65,26.08,36.15,27.38,95.9,10.71
1981,5,19,40.55,33.01,25.53,36.05,31.38,95.81,12.3
1981,5,20,41.13,33.0,25.11,36.37,41.5,95.77,16.06
1981,5,21,40.87,33.08,25.08,36.41,45.06,95.82,17.82
1981,5,22,41.08,33.15,25.05,35.19,41.75,95.88,16.98
1981,5,23,41.87,33.27,24.68,35.26,39.44,95.83,15.18
1981,5,24,41.12,32.51,24.56,34.76,43.06,95.83,16.26
1981,5,25,42.05,33.32,24.77,36.09,38.94,95.9,15.28
1981,5,26,43.12,34.35,25.07,37.24,33.25,95.99,12.95
1981,5,27,43.0,34.69,26.62,37.49,26.56,95.9,10.87
1981,5,28,41.81,34.07,26.06,36.8,35.19,95.76,14.37
1981,5,29,42.44,34.47,26.4,37.49,35.81,95.77,14.58
1981,5,30,43.59,35.05,26.22,38.44,35.25,95.79,14.26
1981,5,31,43.51,35.17,26.62,38.37,36.88,95.79,15.93
1981,6,1,43.2,34.78,26.54,37.95,39.12,95.79,16.48
1981,6,2,42.02,34.31,26.31,37.24,40.94,95.79,17.34
1981,6,3,43.82,35.2,25.82,38.24,36.56,95.58,15.51
1981,6,4,42.55,35.36,27.1,38.63,34.19,95.44,14.83
1981,6,5,43.73,35.37,26.44,38.84,37.19,95.43,16.12
1981,6,6,44.4,35.44,26.51,38.13,35.62,95.55,14.72
1981,6,7,43.37,34.64,26.53,37.26,41.81,95.65,17.11
1981,6,8,42.42,33.93,26.01,36.73,44.12,95.72,17.6
1981,6,9,42.58,33.87,25.47,36.91,44.81,95.79,17.77
1981,6,10,42.67,34.73,26.27,38.44,43.56,95.76,18.66
1981,6,11,42.51,35.08,27.37,38.24,36.31,95.79,16.0
1981,6,12,40.15,34.08,27.13,36.24,37.25,95.78,16.02
1981,6,13,41.48,33.88,26.35,36.12,38.81,95.57,15.8
1981,6,14,42.1,34.91,27.34,37.91,35.88,95.45,15.68
1981,6,15,41.37,34.59,26.61,36.96,36.56,95.44,15.58
1981,6,16,41.91,34.85,26.87,37.09,35.06,95.44,15.42
1981,6,17,42.94,34.89,26.72,37.41,39.75,95.33,16.99
1981,6,18,40.72,33.05,26.03,35.19,49.81,95.39,19.96
1981,6,19,39.91,32.43,25.73,34.3,53.31,95.49,20.58
1981,6,20,40.32,32.74,26.3,34.58,51.06,95.31,19.93
1981,6,21,41.15,33.1,26.49,35.36,47.62,95.25,18.8
1981,6,22,40.41,32.97,26.15,34.93,47.12,95.25,18.64
1981,6,23,35.0,30.3,26.25,31.13,52.94,95.41,18.8
1981,6,24,30.39,26.73,24.44,27.04,78.31,95.48,22.4
1981,6,25,29.51,26.08,23.98,26.45,82.69,95.58,22.76
1981,6,26,28.83,25.87,23.66,26.13,85.69,95.4,23.2
1981,6,27,33.86,28.21,23.62,29.56,76.38,95.46,23.24
1981,6,28,33.73,27.8,23.46,28.82,76.75,95.76,22.99
1981,6,29,32.64,27.62,23.73,28.6,76.94,95.83,22.88
1981,6,30,32.11,27.47,24.5,28.1,79.88,95.57,23.42
