-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  26.8944   Longitude 70.8717 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 173.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,23.55,16.36,9.87,16.46,31.19,99.26,-2.49
1981,1,31,24.4,15.15,7.23,15.47,22.88,99.43,-7.33
1981,2,1,23.09,15.01,7.51,15.45,28.62,99.85,-3.92
1981,2,2,24.23,16.28,8.35,16.81,25.88,99.77,-4.74
1981,2,3,25.87,18.07,10.65,18.17,25.12,99.46,-2.63
1981,2,4,20.76,15.14,11.04,16.3,54.5,99.53,5.76
1981,2,5,21.39,14.08,7.44,14.57,55.56,99.94,4.18
1981,2,6,22.52,14.94,8.32,15.24,40.38,100.1,0.72
1981,2,7,24.05,16.02,8.25,15.92,32.44,99.81,-1.71
1981,2,8,25.98,18.07,10.37,16.91,25.12,99.49,-2.97
1981,2,9,27.13,19.37,12.05,17.66,21.81,99.5,-3.79
1981,2,10,27.54,19.04,10.12,18.33,20.0,99.57,-5.22
1981,2,11,29.37,20.08,11.26,19.94,19.69,99.26,-4.5
1981,2,12,30.99,21.31,12.4,21.84,41.06,98.91,6.16
1981,2,13,29.95,21.46,13.64,22.19,56.56,98.77,10.64
1981,2,14,28.21,19.72,12.01,21.05,38.5,99.0,2.74
1981,2,15,28.67,20.58,14.84,20.49,21.5,99.19,-3.08
1981,2,16,26.91,18.98,11.33,19.2,26.62,99.5,-1.36
1981,2,17,27.88,19.17,11.01,19.83,25.44,99.67,-2.38
1981,2,18,29.02,20.67,11.47,21.17,21.88,99.51,-3.06
1981,2,19,30.93,23.39,15.26,23.97,17.19,99.45,-3.8
1981,2,20,32.0,23.47,15.97,23.74,17.06,99.51,-3.6
1981,2,21,32.08,24.12,15.72,23.55,14.88,99.38,-5.12
1981,2,22,32.4,23.54,15.45,23.06,14.75,99.13,-5.29
1981,2,23,34.17,25.01,17.14,25.77,14.62,99.05,-4.54
1981,2,24,32.48,23.96,16.45,24.9,29.06,99.16,2.97
1981,2,25,31.29,21.78,13.98,23.12,14.81,99.43,-6.96
1981,2,26,26.75,19.58,13.27,20.04,30.75,99.52,1.47
1981,2,27,30.72,23.19,15.8,24.4,37.25,99.15,7.27
1981,2,28,31.58,23.43,17.17,24.4,34.38,99.03,2.11
1981,3,1,30.58,22.12,13.95,22.36,16.38,99.46,-5.34
1981,3,2,31.07,22.56,14.1,23.26,17.44,99.72,-4.06
1981,3,3,34.23,25.46,16.4,26.23,18.38,99.66,-1.23
1981,3,4,35.41,27.39,19.48,27.45,17.31,99.6,-0.28
1981,3,5,32.24,25.61,18.3,25.23,23.44,99.42,2.65
1981,3,6,32.93,24.68,17.72,24.72,18.0,99.41,-3.24
1981,3,7,31.44,21.45,11.98,23.17,12.88,99.62,-9.56
1981,3,8,29.46,21.81,14.33,23.98,13.38,99.56,-7.63
1981,3,9,32.58,23.93,15.74,24.91,23.12,99.06,1.03
1981,3,10,31.34,23.14,15.53,24.59,21.19,99.08,-1.67
1981,3,11,29.65,22.16,16.38,23.32,25.69,99.27,0.91
1981,3,12,30.65,22.85,15.67,24.83,24.19,99.36,0.51
1981,3,13,28.98,22.05,15.08,22.65,26.5,99.41,1.25
1981,3,14,22.11,19.52,17.11,20.48,48.12,99.59,7.94
1981,3,15,24.77,20.14,16.22,22.33,59.69,99.79,11.73
1981,3,16,27.4,20.63,14.37,22.51,50.38,99.63,9.11
1981,3,17,30.96,23.49,15.36,24.95,36.81,99.18,6.7
1981,3,18,29.81,23.95,18.16,24.03,33.0,98.85,6.19
1981,3,19,32.57,25.82,18.51,28.19,36.94,98.72,9.16
1981,3,20,30.55,24.61,18.99,25.49,36.88,98.64,8.29
1981,3,21,30.95,22.26,14.0,23.43,23.56,98.65,-1.99
1981,3,22,29.15,20.6,12.4,22.54,35.69,99.1,3.61
1981,3,23,30.91,22.83,14.41,24.69,29.75,98.99,2.8
1981,3,24,33.34,25.09,15.68,27.28,23.75,98.88,1.69
1981,3,25,36.61,28.02,18.35,29.81,25.75,98.79,5.52
1981,3,26,37.81,29.62,21.93,31.13,22.69,98.77,4.73
1981,3,27,39.03,30.64,22.12,31.62,18.5,98.61,3.33
1981,3,28,40.9,31.43,22.51,33.0,22.44,98.49,5.39
1981,3,29,38.37,30.34,22.78,32.03,24.88,98.46,7.0
