-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  22.6544   Longitude 88.4465 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,30.69,22.53,15.48,23.35,63.44,101.26,14.04
1981,1,31,31.7,23.91,18.0,24.78,73.12,101.27,18.01
1981,2,1,27.31,22.63,19.58,22.91,84.56,101.36,19.63
1981,2,2,28.55,22.52,17.12,23.4,71.62,101.49,16.4
1981,2,3,27.77,20.73,15.15,21.73,61.94,101.59,12.27
1981,2,4,27.5,19.44,12.24,20.01,55.12,101.52,9.19
1981,2,5,29.01,20.83,12.89,20.26,46.56,101.59,7.98
1981,2,6,30.84,22.07,13.81,21.31,48.0,101.62,9.57
1981,2,7,32.46,23.3,15.83,22.86,49.0,101.34,10.82
1981,2,8,32.37,23.42,15.94,24.01,62.06,101.18,14.33
1981,2,9,31.23,22.96,16.28,23.78,61.12,101.24,13.94
1981,2,10,23.23,18.19,11.82,18.83,78.25,101.24,14.1
1981,2,11,25.85,17.44,9.63,18.14,64.62,101.17,9.4
1981,2,12,26.82,19.39,13.11,19.32,52.12,101.19,8.35
1981,2,13,28.18,21.11,15.46,20.69,56.19,101.11,11.19
1981,2,14,29.51,21.93,15.94,21.22,53.19,101.14,10.66
1981,2,15,31.59,23.05,15.24,22.08,51.19,101.04,11.27
1981,2,16,32.57,23.33,15.48,23.47,62.0,101.15,13.98
1981,2,17,32.89,24.03,16.08,24.12,54.94,101.16,13.16
1981,2,18,31.66,22.87,14.98,22.68,48.62,101.17,9.29
1981,2,19,31.3,21.33,12.74,21.47,45.56,101.22,7.15
1981,2,20,30.96,21.4,12.11,21.31,45.31,101.21,7.45
1981,2,21,31.73,21.72,12.68,22.04,47.19,101.17,8.15
1981,2,22,32.05,22.27,13.8,22.59,53.19,101.17,9.75
1981,2,23,32.79,22.94,14.1,23.19,51.06,101.27,9.98
1981,2,24,33.31,23.4,14.22,23.58,49.69,101.27,9.73
1981,2,25,34.91,24.69,15.52,25.22,57.81,101.16,13.3
1981,2,26,36.65,27.0,18.3,27.01,56.31,101.04,15.12
1981,2,27,36.34,27.67,20.07,27.55,53.31,101.04,14.72
1981,2,28,36.67,26.93,18.87,27.74,52.62,101.09,13.62
1981,3,1,36.13,27.48,21.25,28.45,67.25,101.09,18.97
1981,3,2,36.68,27.69,21.03,28.91,58.5,101.12,15.98
1981,3,3,35.33,26.17,18.18,26.81,42.19,101.38,8.5
1981,3,4,34.98,25.98,17.91,25.56,28.88,101.52,4.15
1981,3,5,34.62,25.58,16.62,25.98,37.38,101.47,7.37
1981,3,6,35.18,26.27,17.73,27.81,54.69,101.47,14.2
1981,3,7,36.27,27.68,20.01,29.0,53.88,101.41,15.16
1981,3,8,37.73,28.51,20.57,29.42,55.38,101.1,16.01
1981,3,9,37.59,29.0,21.73,29.9,53.25,101.13,15.9
1981,3,10,33.63,26.58,20.84,27.22,52.25,101.27,14.65
1981,3,11,36.82,27.87,20.22,29.16,58.06,101.16,16.7
1981,3,12,34.94,27.28,21.8,28.55,64.5,101.23,18.59
1981,3,13,29.48,25.24,22.16,25.15,70.75,101.39,19.24
1981,3,14,32.37,25.62,20.44,26.73,63.62,101.48,17.21
1981,3,15,33.83,26.53,20.03,27.8,62.06,101.48,17.36
1981,3,16,33.65,26.33,20.66,27.38,60.5,101.23,16.81
1981,3,17,32.87,25.27,18.21,26.57,58.69,100.92,15.59
1981,3,18,35.22,26.91,20.67,27.83,57.62,100.82,15.85
1981,3,19,36.07,27.08,18.96,28.23,62.81,100.87,17.12
1981,3,20,36.44,28.33,21.26,29.72,65.31,100.83,19.62
1981,3,21,30.64,26.43,23.42,26.88,75.69,100.88,21.32
1981,3,22,35.61,28.22,22.36,29.29,62.75,100.57,18.98
1981,3,23,36.05,28.37,22.67,29.21,63.5,100.43,19.17
1981,3,24,36.59,29.24,23.4,30.59,61.19,100.62,19.3
1981,3,25,32.88,26.71,22.29,27.6,70.25,100.82,19.95
1981,3,26,31.18,25.55,20.91,26.92,69.38,100.83,18.68
1981,3,27,31.96,25.53,20.05,26.41,69.56,100.75,18.83
1981,3,28,32.41,26.23,21.23,27.11,74.94,100.82,20.71
1981,3,29,32.29,26.51,21.98,27.47,78.69,100.98,22.03
1981,3,30,33.16,27.06,22.15,28.18,76.44,100.91,21.98
1981,3,31,31.55,27.02,23.52,27.55,79.12,100.64,22.73
1981,4,1,33.19,27.19,22.8,28.05,76.0,100.56,21.96
1981,4,2,35.21,28.37,23.12,29.58,72.69,100.78,21.94
1981,4,3,34.98,28.47,23.07,29.63,74.88,100.74,22.83
1981,4,4,36.04,29.33,24.8,30.35,75.25,100.44,23.73
1981,4,5,38.79,30.17,25.09,31.06,65.56,100.29,20.6
1981,4,6,38.4,29.7,22.23,29.7,53.62,100.51,15.23
1981,4,7,38.0,28.41,20.03,28.55,50.56,100.59,12.84
1981,4,8,37.53,27.79,18.9,28.33,54.88,100.63,14.41
1981,4,9,38.25,28.84,21.26,29.65,61.06,100.53,17.66
1981,4,10,38.76,29.65,23.23,30.61,64.62,100.42,19.39
1981,4,11,37.19,29.36,24.08,30.29,67.62,100.47,21.08
1981,4,12,35.98,29.13,23.76,30.33,69.31,100.51,21.9
1981,4,13,36.8,29.74,24.25,32.05,66.69,100.64,21.8
1981,4,14,37.43,30.51,24.9,32.54,64.62,100.61,21.85
1981,4,15,35.12,29.25,24.92,30.86,70.12,100.69,22.55
1981,4,16,34.69,29.14,24.9,30.44,74.31,100.55,23.53
1981,4,17,34.58,28.91,25.06,30.15,75.38,100.46,23.66
1981,4,18,34.3,29.19,25.48,30.08,75.0,100.54,23.95
1981,4,19,32.15,27.99,25.8,28.26,84.0,100.68,24.9
1981,4,20,32.73,27.97,24.1,28.87,78.0,100.77,23.33
1981,4,21,33.17,27.56,21.88,28.59,70.69,100.71,21.04
1981,4,22,34.09,28.22,23.02,29.32,74.81,100.7,22.67
1981,4,23,32.06,27.59,24.4,28.2,80.94,100.83,23.71
1981,4,24,31.8,27.44,24.05,27.89,80.5,100.96,23.45
1981,4,25,35.2,28.52,23.3,29.26,70.44,100.95,21.58
1981,4,26,36.17,28.88,22.64,29.87,68.94,100.87,21.51
1981,4,27,35.95,28.98,23.33,29.98,68.88,100.89,21.67
