-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  26.7643   Longitude 80.8808 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 127.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,25.62,18.69,13.21,17.65,53.12,99.72,8.44
1981,1,31,24.06,17.15,11.72,17.18,65.62,99.89,10.08
1981,2,1,23.18,16.02,11.23,16.38,71.0,100.16,10.08
1981,2,2,21.43,14.15,7.78,13.26,56.19,100.32,4.55
1981,2,3,22.62,15.19,8.22,13.3,39.44,100.31,0.89
1981,2,4,25.3,17.19,8.56,15.15,39.31,100.13,2.67
1981,2,5,26.54,19.4,12.43,16.61,39.62,100.12,4.98
1981,2,6,28.2,19.6,13.32,18.43,47.62,100.25,7.62
1981,2,7,24.79,15.88,9.51,15.89,52.69,100.09,5.23
1981,2,8,24.18,15.6,7.65,14.91,49.25,99.89,4.07
1981,2,9,24.42,16.07,7.72,15.16,46.75,99.89,3.84
1981,2,10,24.32,15.76,8.94,15.46,50.44,99.95,4.69
1981,2,11,25.26,15.83,7.53,15.37,46.75,99.67,3.31
1981,2,12,27.25,17.56,9.12,16.51,43.31,99.59,3.91
1981,2,13,28.1,18.18,9.19,17.38,45.19,99.65,4.96
1981,2,14,29.4,20.12,10.13,18.68,40.12,99.67,4.77
1981,2,15,30.67,21.77,12.98,20.03,38.25,99.62,6.26
1981,2,16,30.38,20.72,12.73,20.27,44.06,99.8,6.91
1981,2,17,28.62,19.04,12.08,18.75,37.62,99.9,3.03
1981,2,18,28.77,18.31,10.57,18.17,39.62,99.73,3.1
1981,2,19,28.44,18.51,10.62,18.36,39.19,99.85,3.19
1981,2,20,30.21,19.62,11.71,19.55,38.0,99.83,3.52
1981,2,21,30.12,19.59,11.53,19.45,37.25,99.76,3.09
1981,2,22,30.2,19.6,11.03,19.39,37.25,99.72,3.16
1981,2,23,32.0,21.26,11.32,20.3,35.75,99.8,3.91
1981,2,24,34.06,23.39,13.4,22.19,34.31,99.76,5.18
1981,2,25,33.82,23.57,16.51,22.95,35.75,99.75,6.23
1981,2,26,32.78,22.66,14.25,22.6,31.56,99.69,3.22
1981,2,27,31.62,23.1,15.22,23.09,35.12,99.7,5.85
1981,2,28,33.18,23.58,15.55,23.39,37.94,99.59,7.26
1981,3,1,31.59,23.24,16.36,23.82,43.19,99.8,9.13
1981,3,2,29.63,20.89,13.67,21.11,38.0,99.87,4.01
1981,3,3,31.76,20.37,11.82,20.4,29.81,99.98,0.28
1981,3,4,32.16,21.76,11.03,21.51,33.0,100.07,3.67
1981,3,5,33.78,24.14,16.07,23.85,33.38,100.02,6.0
1981,3,6,35.33,25.89,16.96,26.69,34.0,99.96,7.67
1981,3,7,35.21,26.92,18.94,26.8,34.25,99.92,8.86
1981,3,8,32.73,23.37,16.28,23.81,25.19,99.74,0.49
1981,3,9,32.24,21.89,13.41,22.23,25.5,99.75,-0.69
1981,3,10,33.5,23.3,14.2,23.55,28.06,99.69,2.15
1981,3,11,32.01,22.9,14.73,23.33,35.12,99.74,5.19
1981,3,12,30.55,23.62,18.34,23.72,36.06,99.89,6.95
1981,3,13,30.64,22.58,16.01,23.56,44.19,99.98,8.99
1981,3,14,28.47,22.38,17.2,21.44,44.69,100.04,9.26
1981,3,15,30.36,22.6,17.75,22.55,46.81,100.2,9.76
1981,3,16,30.08,22.28,15.01,23.54,52.75,99.97,11.12
1981,3,17,32.08,22.91,15.14,23.52,45.62,99.49,9.05
1981,3,18,34.33,24.26,14.65,24.62,36.44,99.37,6.88
1981,3,19,32.65,24.45,16.87,25.05,38.0,99.48,8.37
1981,3,20,29.41,23.42,17.82,23.46,48.0,99.53,11.11
1981,3,21,32.01,24.15,17.55,24.9,53.88,99.45,12.8
1981,3,22,34.24,25.58,17.13,26.09,37.5,99.25,7.96
1981,3,23,33.23,24.28,16.68,25.41,31.31,99.07,4.87
1981,3,24,33.1,24.76,14.65,25.06,26.69,99.26,3.07
1981,3,25,33.75,25.77,17.94,25.48,25.94,99.39,3.85
1981,3,26,35.39,25.83,18.99,26.23,26.62,99.27,3.52
1981,3,27,36.46,26.64,19.47,26.59,25.69,99.06,3.98
1981,3,28,37.43,27.45,18.3,28.64,27.31,99.18,5.45
1981,3,29,37.9,28.03,18.23,29.58,25.31,99.35,4.91
1981,3,30,36.22,27.65,20.46,28.43,31.5,99.23,8.33
1981,3,31,35.29,26.24,18.17,27.3,46.31,99.03,12.62
1981,4,1,36.24,27.2,19.7,27.62,33.06,99.08,7.33
1981,4,2,37.87,27.76,18.22,28.35,29.69,99.24,6.64
1981,4,3,38.98,29.91,19.71,30.31,24.94,99.09,6.25
1981,4,4,39.77,29.63,20.62,29.94,20.75,98.92,3.02
1981,4,5,36.82,26.17,17.63,26.96,14.75,99.01,-4.31
1981,4,6,36.42,26.32,16.88,27.14,13.56,99.2,-5.01
