-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  19.0897   Longitude 72.8675 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,34.88,25.36,18.34,25.81,41.5,100.14,9.0
1981,1,31,31.22,23.47,18.56,24.36,59.75,100.24,13.45
1981,2,1,31.11,22.49,16.03,23.12,41.56,100.34,5.62
1981,2,2,33.58,22.4,13.62,23.51,26.38,100.24,-0.24
1981,2,3,35.51,24.05,15.3,25.16,30.12,100.16,2.97
1981,2,4,36.08,24.9,17.05,25.82,30.38,100.13,4.24
1981,2,5,35.24,25.17,17.09,26.33,34.19,100.24,6.16
1981,2,6,35.65,25.23,17.01,27.06,39.94,100.36,8.92
1981,2,7,36.4,25.8,17.64,27.23,30.81,100.17,5.58
1981,2,8,35.07,25.38,18.78,26.51,28.5,100.04,4.36
1981,2,9,34.8,24.12,15.82,25.26,26.12,100.03,0.07
1981,2,10,37.14,24.96,15.64,26.19,23.31,100.02,-0.77
1981,2,11,36.61,25.1,17.05,26.47,23.62,99.97,0.04
1981,2,12,35.29,24.75,16.4,25.92,28.81,99.95,2.01
1981,2,13,33.74,23.62,15.88,25.28,49.25,100.02,9.01
1981,2,14,32.08,23.41,16.12,25.33,62.88,100.14,14.02
1981,2,15,32.58,23.47,16.3,25.84,62.31,100.12,13.69
1981,2,16,34.27,24.51,16.47,26.73,53.38,100.14,12.04
1981,2,17,38.04,27.04,18.48,28.85,31.88,100.05,6.78
1981,2,18,36.91,27.17,19.68,28.58,29.75,100.0,6.64
1981,2,19,37.44,27.58,20.92,29.08,34.81,100.04,8.48
1981,2,20,37.4,27.43,20.44,29.15,42.75,100.09,10.77
1981,2,21,39.29,28.5,20.09,30.07,31.88,99.89,8.13
1981,2,22,38.37,28.3,20.94,30.15,39.69,99.83,11.19
1981,2,23,38.74,29.12,23.03,30.8,31.12,99.97,8.67
1981,2,24,38.88,28.88,21.89,30.87,37.5,100.15,10.44
1981,2,25,38.87,29.26,21.39,30.68,27.12,100.19,7.05
1981,2,26,38.85,29.17,21.8,30.85,25.25,100.12,5.92
1981,2,27,38.79,29.07,21.31,30.2,24.81,100.09,5.06
1981,2,28,37.12,27.17,19.42,28.95,39.56,100.15,9.39
1981,3,1,37.64,27.21,18.31,29.05,47.75,100.21,12.25
1981,3,2,39.51,29.29,20.55,30.5,22.06,100.2,3.48
1981,3,3,41.11,30.8,22.43,32.15,13.94,100.17,-1.34
1981,3,4,39.85,30.9,24.16,31.83,15.0,100.25,0.66
1981,3,5,40.23,30.37,22.92,32.37,21.25,100.15,2.65
1981,3,6,40.12,29.45,20.63,31.37,25.06,100.15,4.17
1981,3,7,39.73,29.14,22.73,30.78,29.5,100.21,6.77
1981,3,8,39.19,29.53,22.54,31.17,29.44,100.08,8.12
1981,3,9,37.98,28.71,22.24,30.44,30.31,100.01,7.13
1981,3,10,36.56,27.02,19.64,28.95,49.19,100.11,11.89
1981,3,11,34.99,26.43,20.64,28.74,54.25,100.14,14.4
1981,3,12,35.29,26.56,19.73,29.12,50.5,100.14,13.72
1981,3,13,36.51,27.56,19.82,30.01,43.62,100.11,11.87
1981,3,14,37.51,28.71,20.35,31.25,40.38,100.11,11.73
1981,3,15,35.23,28.76,23.88,30.68,42.0,100.2,13.59
1981,3,16,37.13,29.05,22.62,31.89,39.69,100.07,12.49
1981,3,17,36.22,28.1,21.6,30.8,49.44,99.84,15.15
1981,3,18,34.83,27.75,22.41,30.64,58.38,99.84,17.64
1981,3,19,33.84,27.04,22.51,30.05,57.75,99.91,16.93
1981,3,20,30.46,25.32,22.19,26.91,57.88,100.0,15.83
1981,3,21,34.3,26.12,19.88,28.9,54.38,99.84,14.37
1981,3,22,35.05,25.86,17.87,28.34,46.62,99.75,11.33
1981,3,23,36.52,27.12,19.81,29.58,48.38,99.66,12.52
1981,3,24,36.88,27.2,18.7,29.48,43.94,99.72,10.68
1981,3,25,39.51,28.56,19.18,31.28,38.62,99.7,9.38
1981,3,26,41.37,29.87,20.87,32.25,37.81,99.63,9.34
1981,3,27,38.32,29.23,22.5,32.07,55.56,99.67,16.79
1981,3,28,38.62,29.19,23.11,32.33,58.44,99.71,18.21
1981,3,29,38.49,29.0,22.03,32.25,59.19,99.81,18.08
1981,3,30,36.78,28.55,23.19,31.7,57.88,99.89,17.66
1981,3,31,35.76,27.86,22.55,31.0,62.56,99.76,18.51
1981,4,1,36.44,28.0,21.98,31.23,62.25,99.72,18.42
1981,4,2,35.25,27.45,22.08,30.76,59.94,99.91,17.23
1981,4,3,38.24,28.41,19.8,31.18,57.75,99.86,16.87
1981,4,4,36.27,27.9,21.15,30.59,52.19,99.78,14.85
1981,4,5,38.52,28.63,20.69,31.37,48.12,99.63,14.07
1981,4,6,40.19,29.33,20.57,32.15,47.62,99.68,12.7
1981,4,7,41.36,30.19,22.2,32.72,44.06,99.67,13.05
1981,4,8,43.83,32.05,22.12,34.05,23.0,99.57,3.56
1981,4,9,44.95,32.83,22.91,35.07,20.19,99.53,1.7
1981,4,10,42.98,32.12,23.87,34.13,34.25,99.51,10.3
1981,4,11,41.64,31.34,22.92,34.07,48.81,99.53,16.22
1981,4,12,43.57,32.29,23.06,34.84,47.38,99.51,15.3
1981,4,13,43.69,32.62,24.67,34.94,45.88,99.57,15.87
1981,4,14,40.98,31.04,23.73,34.24,57.75,99.64,18.73
1981,4,15,40.33,30.43,24.02,33.97,60.69,99.7,19.45
1981,4,16,39.66,30.38,23.72,33.16,58.19,99.7,18.2
1981,4,17,38.55,29.88,23.94,32.89,58.12,99.66,17.99
1981,4,18,38.22,29.73,23.65,32.91,60.56,99.77,18.8
1981,4,19,38.34,29.9,23.68,33.23,60.81,99.89,19.43
1981,4,20,38.3,30.15,24.37,33.31,59.38,99.89,19.16
1981,4,21,36.26,29.59,25.05,32.38,61.44,99.84,19.72
1981,4,22,36.61,29.2,24.02,31.9,60.31,99.83,19.1
1981,4,23,37.91,29.26,22.98,31.9,54.38,99.86,16.48
1981,4,24,39.83,30.35,22.19,33.54,49.31,99.94,16.0
1981,4,25,40.15,31.58,25.3,34.28,48.31,99.88,16.98
1981,4,26,38.55,30.82,24.4,33.51,52.75,99.82,17.97
1981,4,27,37.98,30.86,24.76,33.69,52.06,99.9,17.71
1981,4,28,41.55,32.55,24.7,35.6,48.0,99.78,17.51
1981,4,29,36.55,31.94,27.51,33.27,46.0,99.69,17.76
1981,4,30,38.3,32.35,26.81,33.55,42.56,99.76,16.96
1981,5,1,39.69,33.59,29.12,34.69,37.44,99.88,16.33
1981,5,2,37.49,31.06,27.14,32.28,63.38,99.89,22.09
1981,5,3,34.69,29.65,25.73,30.36,64.75,99.83,21.11
1981,5,4,35.4,29.34,25.1,30.86,63.81,99.82,20.57
1981,5,5,37.02,29.98,24.73,32.41,64.0,99.75,21.02
1981,5,6,35.87,29.49,24.68,31.22,62.44,99.62,19.79
1981,5,7,37.0,29.79,24.39,32.25,64.06,99.49,20.92
1981,5,8,37.73,30.29,24.76,33.56,62.44,99.45,21.08
1981,5,9,36.73,30.05,25.4,33.52,59.94,99.53,20.32
1981,5,10,36.63,29.74,24.3,33.37,60.12,99.55,19.89
