-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  25.5937   Longitude 85.0924 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 59.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,26.76,19.12,12.87,18.41,55.38,100.57,9.4
1981,1,31,25.13,17.93,12.53,18.09,62.06,100.72,10.17
1981,2,1,25.09,18.06,13.06,18.48,71.44,100.87,12.43
1981,2,2,23.5,16.05,10.08,16.08,62.94,101.02,8.3
1981,2,3,23.37,15.22,8.0,15.08,57.19,101.11,5.85
1981,2,4,25.67,17.15,8.68,15.81,45.75,100.95,4.62
1981,2,5,27.13,18.62,10.4,17.11,45.25,100.96,5.76
1981,2,6,30.05,21.15,13.34,19.11,42.44,101.0,7.07
1981,2,7,29.38,20.66,14.56,19.82,48.88,100.75,8.91
1981,2,8,26.31,17.57,9.47,17.16,47.81,100.68,5.07
1981,2,9,26.15,18.47,10.12,16.58,40.38,100.72,3.88
1981,2,10,25.23,17.79,12.01,16.03,41.31,100.62,3.69
1981,2,11,25.05,15.82,8.01,15.74,51.31,100.51,4.83
1981,2,12,26.34,17.76,8.77,16.87,45.69,100.46,4.73
1981,2,13,27.11,19.15,10.47,17.88,43.56,100.46,5.64
1981,2,14,29.19,20.68,11.94,18.81,41.0,100.48,6.01
1981,2,15,31.12,21.64,13.7,19.8,38.38,100.37,5.96
1981,2,16,31.55,21.56,13.76,21.19,46.44,100.51,8.61
1981,2,17,30.23,20.14,12.08,20.17,45.88,100.58,6.44
1981,2,18,29.68,18.34,9.61,18.48,44.69,100.5,4.25
1981,2,19,29.73,18.65,9.1,18.58,43.06,100.62,4.33
