-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  21.1833   Longitude 81.7427 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 310.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,29.83,20.76,13.8,20.35,59.5,97.6,11.87
1981,1,31,29.83,21.36,14.37,20.51,60.94,97.62,12.78
1981,2,1,29.16,21.26,15.19,20.73,59.62,97.74,12.42
1981,2,2,26.45,18.73,12.21,18.98,67.56,97.98,11.83
1981,2,3,26.55,18.19,10.98,18.38,63.88,98.02,10.28
1981,2,4,27.99,18.46,10.08,18.65,61.38,97.98,9.81
1981,2,5,30.01,20.44,12.91,20.18,55.19,98.04,9.98
1981,2,6,31.48,21.75,13.16,21.49,50.56,98.07,9.69
1981,2,7,31.22,22.86,15.41,21.96,49.25,97.81,10.83
1981,2,8,30.92,22.38,13.55,21.97,54.44,97.62,11.8
1981,2,9,29.62,22.55,16.38,21.76,55.06,97.58,12.44
1981,2,10,27.06,17.59,9.64,17.71,51.44,97.76,5.46
1981,2,11,26.46,17.05,8.14,17.08,48.81,97.71,4.62
1981,2,12,29.98,20.68,12.91,19.31,38.88,97.6,5.0
1981,2,13,31.57,22.52,14.85,20.51,36.31,97.51,5.73
1981,2,14,31.48,22.11,15.73,20.31,33.75,97.6,4.08
1981,2,15,32.65,22.26,12.93,21.15,35.0,97.56,4.43
1981,2,16,33.52,23.66,15.15,22.48,37.38,97.67,7.0
1981,2,17,33.19,24.13,15.49,23.3,41.06,97.73,8.9
1981,2,18,32.02,22.57,12.77,22.51,43.69,97.75,7.82
1981,2,19,32.43,23.31,13.61,22.65,40.25,97.77,7.84
1981,2,20,32.52,23.06,13.53,23.27,43.25,97.79,8.46
1981,2,21,32.99,23.31,14.67,23.59,40.94,97.71,7.5
1981,2,22,32.19,21.85,12.19,22.19,41.19,97.72,6.15
1981,2,23,33.19,23.05,13.87,22.82,35.88,97.8,5.51
1981,2,24,34.72,25.12,16.55,24.58,32.75,97.83,6.19
1981,2,25,36.1,26.67,18.09,26.07,33.69,97.73,8.0
1981,2,26,36.59,25.81,17.08,25.87,34.0,97.64,6.82
1981,2,27,35.98,25.41,15.48,25.67,34.31,97.63,6.47
1981,2,28,36.83,26.1,16.59,26.3,32.12,97.59,6.02
1981,3,1,36.73,25.98,17.12,26.1,31.44,97.66,5.65
1981,3,2,35.38,24.67,16.05,25.25,30.69,97.8,4.23
1981,3,3,33.22,23.04,13.15,23.15,26.5,98.01,0.53
1981,3,4,33.07,22.73,11.77,22.68,25.44,98.09,-0.2
1981,3,5,35.11,25.52,17.95,25.05,26.44,97.96,3.75
1981,3,6,36.23,26.98,18.26,26.72,29.62,97.93,6.4
1981,3,7,37.13,27.81,17.62,28.05,31.25,97.87,7.62
1981,3,8,35.26,26.96,19.76,26.62,32.88,97.64,8.11
1981,3,9,38.2,28.49,19.17,28.62,33.44,97.48,9.4
1981,3,10,36.92,27.69,19.36,28.57,40.12,97.53,11.38
1981,3,11,36.08,26.92,18.49,27.49,36.44,97.58,9.48
1981,3,12,26.08,21.94,17.62,21.57,58.25,97.77,12.83
1981,3,13,32.2,23.91,15.83,25.8,57.5,97.81,13.8
1981,3,14,34.48,25.95,18.28,27.71,51.5,97.85,13.95
1981,3,15,34.81,26.52,20.27,28.05,50.19,97.94,14.33
1981,3,16,24.76,21.62,19.05,22.0,70.06,97.93,15.83
1981,3,17,33.11,25.33,17.44,26.6,58.69,97.5,15.61
1981,3,18,34.73,26.83,18.64,28.23,53.44,97.37,15.38
1981,3,19,36.12,27.58,21.06,28.7,56.31,97.36,16.89
1981,3,20,31.04,24.42,21.51,25.05,74.25,97.48,19.03
1981,3,21,31.24,25.3,20.38,25.98,71.12,97.43,19.04
1981,3,22,33.94,27.0,20.9,27.51,57.31,97.25,16.41
1981,3,23,35.13,27.43,20.55,28.9,57.25,97.09,16.86
1981,3,24,35.41,26.39,18.11,27.57,41.31,97.2,9.85
1981,3,25,34.84,24.84,14.9,26.08,36.19,97.3,6.73
1981,3,26,35.61,25.94,15.12,26.51,32.31,97.31,6.0
1981,3,27,38.05,27.94,19.28,28.62,29.69,97.12,6.56
1981,3,28,38.41,29.21,19.12,29.9,35.94,97.14,10.82
1981,3,29,39.1,29.98,20.72,31.04,30.5,97.28,8.79
1981,3,30,39.44,30.58,22.19,31.69,38.88,97.21,14.0
1981,3,31,39.66,31.71,24.79,32.93,38.12,97.0,14.55
1981,4,1,39.48,31.07,23.47,32.9,36.12,96.98,12.79
1981,4,2,39.98,31.52,22.44,32.47,28.81,97.19,9.73
1981,4,3,40.87,32.01,23.49,32.91,29.19,97.11,10.77
1981,4,4,41.1,30.9,21.31,32.26,24.62,97.04,6.39
1981,4,5,41.33,30.04,20.1,31.2,17.25,96.98,-0.32
1981,4,6,40.03,28.29,17.24,29.83,13.19,97.19,-4.7
1981,4,7,40.44,28.55,16.76,29.63,12.56,97.24,-5.17
1981,4,8,40.13,29.86,17.98,30.33,13.38,97.28,-3.24
1981,4,9,41.2,31.08,22.01,31.85,13.44,97.2,-1.57
1981,4,10,42.51,31.53,21.68,32.55,13.81,97.02,-1.42
1981,4,11,42.64,31.75,22.27,33.19,13.69,96.95,-1.06
1981,4,12,44.08,33.08,22.5,34.32,16.19,96.93,2.15
1981,4,13,43.49,33.43,23.64,34.36,15.81,96.99,2.19
1981,4,14,43.79,33.88,22.71,34.55,16.25,96.9,3.39
1981,4,15,43.97,34.29,24.33,36.13,24.44,96.89,9.25
1981,4,16,44.43,34.27,24.75,35.9,20.0,96.81,4.91
1981,4,17,44.94,34.16,23.47,35.81,13.19,96.65,0.97
1981,4,18,44.83,34.79,24.3,36.39,14.38,96.79,2.16
1981,4,19,44.11,34.79,26.83,36.2,16.88,96.96,4.65
1981,4,20,42.69,32.94,22.57,35.32,19.38,97.11,4.69
1981,4,21,43.41,33.99,23.63,36.0,21.31,96.99,7.26
1981,4,22,41.57,33.26,25.47,34.37,27.94,96.96,10.3
1981,4,23,43.33,34.09,24.69,36.0,20.88,97.08,7.04
1981,4,24,40.01,33.32,26.65,33.73,24.44,97.33,8.69
1981,4,25,42.75,33.92,25.15,36.13,30.62,97.23,12.69
1981,4,26,41.28,33.09,24.76,35.0,37.12,97.25,14.58
1981,4,27,40.33,32.19,25.22,33.59,38.0,97.31,14.58
1981,4,28,41.76,33.17,24.46,34.98,33.88,97.2,13.7
1981,4,29,42.01,34.86,28.12,36.65,31.62,97.06,14.71
1981,4,30,38.77,32.19,27.37,33.12,29.62,97.39,11.24
1981,5,1,41.33,33.72,25.42,36.23,29.62,97.39,12.24
1981,5,2,42.94,34.81,26.37,37.48,26.75,97.14,11.69
1981,5,3,43.37,35.19,26.55,37.45,28.69,97.02,12.15
1981,5,4,39.9,31.8,23.74,33.4,48.12,97.13,17.89
1981,5,5,33.4,27.98,23.01,28.6,70.75,97.14,21.62
1981,5,6,32.6,28.34,23.62,29.14,65.62,97.08,20.86
1981,5,7,34.54,28.83,23.09,30.12,59.12,97.02,19.51
1981,5,8,35.19,29.54,24.73,30.49,59.06,96.98,20.02
1981,5,9,34.0,28.83,23.74,29.58,62.25,97.03,20.42
1981,5,10,37.49,30.68,24.23,32.55,52.44,96.94,18.83
1981,5,11,37.8,30.87,23.98,31.99,50.38,96.87,18.33
1981,5,12,39.68,32.33,25.33,33.11,42.31,96.76,16.5
1981,5,13,42.07,33.34,23.37,33.67,36.19,96.64,14.43
1981,5,14,42.75,34.11,25.08,34.62,33.38,96.7,14.2
1981,5,15,43.83,34.26,26.15,35.37,35.19,96.54,14.48
1981,5,16,44.11,34.19,24.44,35.67,29.12,96.46,11.32
