-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  23.3179   Longitude 85.3214 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 426.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,27.94,19.07,12.72,18.58,58.0,96.37,9.69
1981,1,31,27.7,19.45,12.78,19.19,65.0,96.4,11.96
1981,2,1,24.9,17.86,12.48,18.23,78.5,96.56,13.6
1981,2,2,24.16,17.17,11.48,18.04,71.81,96.74,11.23
1981,2,3,24.36,15.8,9.51,16.73,65.06,96.8,8.44
1981,2,4,26.2,16.31,9.37,16.17,54.88,96.71,5.8
1981,2,5,28.07,18.73,11.19,17.3,46.81,96.76,5.93
1981,2,6,29.1,20.1,12.41,18.76,47.0,96.83,7.37
1981,2,7,29.68,20.37,12.75,20.12,55.5,96.56,10.11
1981,2,8,28.23,19.11,11.98,19.78,57.69,96.44,9.48
1981,2,9,22.33,17.53,14.41,17.55,68.88,96.5,11.45
1981,2,10,21.26,14.97,9.48,14.8,72.19,96.43,9.23
1981,2,11,23.91,14.87,7.15,15.05,56.94,96.31,5.25
1981,2,12,24.64,16.36,9.44,15.72,54.56,96.31,6.17
1981,2,13,25.86,17.79,11.82,16.27,51.12,96.27,6.81
1981,2,14,28.0,19.05,12.98,17.37,50.19,96.34,7.41
1981,2,15,29.51,19.84,12.24,18.38,48.19,96.26,7.33
1981,2,16,29.59,20.36,13.03,19.74,53.5,96.41,9.62
1981,2,17,29.09,19.99,13.55,19.92,55.69,96.45,9.87
1981,2,18,28.23,18.26,10.49,17.98,48.0,96.4,5.29
1981,2,19,28.01,18.12,10.44,17.81,46.56,96.48,4.83
1981,2,20,28.34,18.58,11.01,18.28,46.56,96.46,5.37
1981,2,21,29.04,19.06,12.18,18.88,45.44,96.41,5.39
1981,2,22,28.68,18.84,10.77,18.33,43.25,96.41,4.43
1981,2,23,29.3,19.4,10.9,18.82,41.81,96.52,4.4
1981,2,24,30.69,21.23,13.01,19.75,39.44,96.51,5.45
1981,2,25,33.27,23.26,15.09,21.98,41.88,96.42,8.3
1981,2,26,33.05,22.89,15.0,22.62,43.75,96.34,8.19
1981,2,27,32.4,22.51,14.88,22.44,40.06,96.36,6.63
1981,2,28,34.02,23.76,16.26,23.42,41.75,96.31,8.23
1981,3,1,33.69,23.25,14.87,23.46,44.62,96.33,8.79
1981,3,2,30.73,21.83,15.45,22.02,41.25,96.46,6.8
1981,3,3,29.78,19.84,12.26,20.05,36.06,96.67,2.41
1981,3,4,30.41,20.86,12.56,20.26,33.25,96.77,2.21
1981,3,5,31.39,22.61,16.48,21.72,34.56,96.68,4.79
1981,3,6,32.21,23.08,15.06,22.37,40.12,96.68,7.49
1981,3,7,32.38,25.11,19.65,23.15,36.69,96.67,8.46
1981,3,8,34.25,24.41,16.83,24.37,42.88,96.34,9.01
1981,3,9,32.93,23.87,17.01,24.31,43.31,96.39,9.13
1981,3,10,32.39,24.07,15.92,24.9,51.25,96.42,12.51
1981,3,11,34.37,24.83,18.13,25.5,58.56,96.31,14.09
1981,3,12,30.58,23.15,16.99,23.35,56.81,96.44,13.07
1981,3,13,31.31,23.38,16.26,23.92,51.69,96.56,11.47
1981,3,14,29.62,22.93,15.44,23.75,52.44,96.67,11.58
1981,3,15,31.76,23.94,18.24,24.66,50.75,96.72,12.11
1981,3,16,27.13,21.71,17.19,22.55,60.12,96.58,13.21
1981,3,17,30.81,22.27,15.47,23.26,55.62,96.17,11.71
1981,3,18,33.03,23.29,14.95,23.89,43.69,96.09,8.44
1981,3,19,34.96,25.5,18.33,25.73,37.56,96.12,8.58
1981,3,20,32.93,25.23,17.62,25.86,45.56,96.14,11.6
1981,3,21,30.67,24.24,20.1,24.91,62.56,96.17,15.94
1981,3,22,33.17,25.23,18.65,26.19,49.44,95.92,12.42
1981,3,23,33.98,26.0,18.12,26.38,42.0,95.7,11.16
1981,3,24,34.38,25.86,17.59,27.13,36.44,95.88,8.08
1981,3,25,33.86,25.27,18.12,27.13,48.19,95.95,11.85
1981,3,26,31.75,24.05,17.32,24.76,52.0,96.01,10.9
1981,3,27,34.4,24.8,15.67,24.65,36.44,95.84,6.77
1981,3,28,34.63,24.65,16.51,25.93,50.75,95.95,11.32
1981,3,29,34.68,25.52,18.73,27.19,53.06,96.13,12.26
1981,3,30,36.58,26.57,17.87,27.82,45.38,96.05,11.58
1981,3,31,37.51,27.9,20.27,29.08,54.38,95.7,15.86
1981,4,1,35.45,27.07,20.48,28.13,48.25,95.74,12.8
1981,4,2,36.75,27.34,19.32,28.37,32.75,96.02,7.75
1981,4,3,38.79,29.41,20.26,29.82,31.0,95.87,8.63
1981,4,4,38.9,29.12,20.94,29.94,33.31,95.66,8.82
1981,4,5,38.26,27.72,19.3,28.21,18.38,95.65,-1.24
1981,4,6,36.15,25.97,17.14,26.68,15.5,95.88,-4.55
1981,4,7,36.59,26.15,16.4,26.91,16.75,95.91,-3.2
1981,4,8,37.58,27.19,17.73,27.74,18.62,95.92,-0.81
1981,4,9,38.56,28.37,19.09,28.98,19.31,95.82,0.94
1981,4,10,39.73,29.54,20.52,30.01,16.44,95.69,-0.63
1981,4,11,41.06,30.8,22.05,30.83,15.56,95.6,-0.7
1981,4,12,39.58,29.87,21.69,30.88,24.62,95.69,5.36
1981,4,13,36.58,28.62,21.44,31.24,44.69,95.95,13.86
1981,4,14,37.73,29.19,20.54,32.19,40.62,95.83,12.9
1981,4,15,38.48,30.24,22.73,33.52,50.88,95.8,16.79
1981,4,16,40.27,31.08,22.76,34.3,51.94,95.67,17.23
1981,4,17,41.82,32.15,23.45,34.83,45.25,95.43,14.69
1981,4,18,42.32,32.23,22.33,34.6,36.25,95.49,10.19
1981,4,19,38.9,30.33,23.77,32.17,47.81,95.75,15.74
1981,4,20,36.33,28.12,21.38,31.35,50.88,96.04,14.31
1981,4,21,37.91,28.35,19.55,31.08,39.56,95.94,10.76
1981,4,22,39.43,29.79,20.55,32.94,48.81,95.84,15.26
1981,4,23,36.98,29.69,23.18,31.7,59.31,95.96,19.35
1981,4,24,38.0,30.3,23.65,32.4,55.12,96.13,18.55
1981,4,25,36.89,29.5,23.08,31.14,56.69,96.17,18.4
1981,4,26,38.08,29.72,22.83,31.15,52.19,96.03,17.0
1981,4,27,38.9,29.56,20.89,30.73,42.31,96.0,11.83
1981,4,28,39.73,29.99,20.32,30.87,38.56,95.94,10.96
1981,4,29,40.55,30.54,22.06,31.69,32.94,95.81,9.35
1981,4,30,38.08,30.29,24.31,30.62,31.56,96.06,10.1
1981,5,1,39.7,31.8,22.64,33.44,30.25,96.06,10.76
1981,5,2,41.56,32.75,24.75,34.43,29.94,95.87,9.65
1981,5,3,39.23,30.19,22.39,32.32,50.56,95.94,16.65
1981,5,4,35.4,28.65,23.16,30.98,60.06,96.0,19.09
1981,5,5,34.73,28.37,22.16,30.86,58.0,95.98,18.23
1981,5,6,34.02,27.43,21.81,29.75,59.19,95.95,17.41
1981,5,7,32.46,26.19,20.64,28.45,67.06,95.91,18.8
1981,5,8,32.45,26.61,21.95,28.45,67.56,95.84,19.26
1981,5,9,37.19,29.63,22.8,32.27,56.69,95.67,18.5
1981,5,10,38.66,31.09,24.26,33.11,53.25,95.55,18.79
1981,5,11,36.5,30.31,24.65,31.55,49.31,95.6,17.36
1981,5,12,37.56,30.58,23.22,32.18,50.56,95.45,17.18
1981,5,13,40.41,31.86,23.33,33.24,36.44,95.31,12.9
1981,5,14,42.17,31.95,22.75,33.79,41.56,95.4,13.1
1981,5,15,43.35,33.23,23.3,34.12,39.38,95.18,12.91
1981,5,16,42.86,33.48,24.87,35.26,40.62,95.17,13.93
1981,5,17,42.04,32.71,24.69,35.26,49.19,95.25,16.48
1981,5,18,42.45,32.75,24.01,35.37,47.56,95.32,15.05
1981,5,19,40.55,32.09,24.59,35.05,54.5,95.3,19.15
1981,5,20,39.62,32.06,25.16,35.01,54.38,95.33,19.77
1981,5,21,38.52,31.43,24.97,33.73,56.5,95.45,20.46
1981,5,22,40.51,32.48,25.06,35.14,51.75,95.5,19.27
1981,5,23,37.83,31.19,25.35,33.15,56.31,95.47,20.42
1981,5,24,40.11,32.1,24.66,34.02,52.88,95.33,19.28
1981,5,25,39.37,30.91,23.5,32.4,59.19,95.41,19.9
1981,5,26,39.21,31.0,24.57,32.2,57.88,95.58,19.66
1981,5,27,38.7,31.08,24.05,31.98,61.94,95.49,21.41
1981,5,28,40.42,31.56,24.98,32.36,63.62,95.33,22.33
1981,5,29,38.32,30.99,25.08,31.79,64.75,95.4,22.33
1981,5,30,39.57,31.94,25.14,32.8,59.25,95.38,21.58
1981,5,31,39.89,32.47,26.12,33.74,57.12,95.38,21.18
1981,6,1,38.75,31.3,25.23,32.95,60.88,95.4,21.19
1981,6,2,38.93,31.32,24.53,32.81,56.5,95.34,19.83
1981,6,3,40.88,32.65,24.19,33.59,48.31,95.18,17.9
1981,6,4,41.19,33.4,27.07,34.05,49.5,94.99,19.93
1981,6,5,41.0,32.75,25.29,33.32,44.75,95.1,16.38
1981,6,6,41.74,32.96,24.98,34.13,46.75,95.15,17.25
1981,6,7,40.63,32.41,24.55,33.32,45.44,95.09,17.2
1981,6,8,39.69,31.29,24.18,33.58,59.75,95.19,20.79
1981,6,9,38.74,31.13,24.59,33.29,59.81,95.29,21.07
1981,6,10,38.18,30.85,23.84,32.28,59.69,95.28,20.65
1981,6,11,39.31,31.48,25.09,32.57,51.94,95.23,18.4
1981,6,12,42.35,32.72,24.21,32.88,44.5,95.08,14.94
1981,6,13,41.19,31.48,22.39,31.32,28.31,94.91,8.31
1981,6,14,41.65,32.33,22.84,31.91,24.5,94.85,6.46
1981,6,15,40.45,32.38,25.2,32.99,37.31,94.97,14.08
