-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  25.7045   Longitude 91.9779 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1224.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,16.09,10.0,5.51,9.4,78.31,87.79,6.11
1981,1,31,17.5,11.65,6.24,11.18,81.88,87.94,8.35
1981,2,1,15.65,12.18,9.19,10.67,88.0,87.95,10.2
1981,2,2,17.71,11.28,6.38,11.15,83.31,87.93,8.15
1981,2,3,17.14,9.69,4.13,9.08,76.12,87.95,5.04
1981,2,4,17.84,10.51,4.92,11.14,82.94,87.86,7.53
1981,2,5,18.98,11.12,5.3,11.02,83.06,87.96,8.23
1981,2,6,20.37,12.25,6.58,10.72,75.88,88.06,7.46
1981,2,7,18.88,12.01,6.92,10.98,70.19,87.91,6.3
1981,2,8,18.29,12.23,7.32,11.51,76.56,87.84,7.94
1981,2,9,19.94,12.19,7.82,11.07,69.94,87.94,6.16
1981,2,10,12.92,9.4,6.61,9.43,89.94,87.76,7.74
1981,2,11,12.95,9.45,7.52,9.48,92.12,87.49,8.19
1981,2,12,16.55,10.28,5.91,10.83,79.62,87.57,6.35
1981,2,13,17.98,10.93,5.23,11.36,77.88,87.58,6.69
1981,2,14,17.56,11.04,6.47,10.26,76.38,87.63,6.64
1981,2,15,18.47,11.37,6.03,9.85,69.75,87.6,5.62
1981,2,16,18.55,12.17,6.64,10.5,66.19,87.72,5.73
1981,2,17,19.34,12.43,7.68,10.48,63.62,87.72,5.34
1981,2,18,18.4,11.73,5.51,9.37,56.12,87.7,2.98
1981,2,19,19.88,12.76,7.73,10.09,54.38,87.74,3.19
1981,2,20,20.12,12.43,7.37,10.79,65.75,87.75,5.78
1981,2,21,20.35,12.46,6.93,10.98,65.25,87.72,5.68
