-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  10.7627   Longitude 78.7112 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 163.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,33.15,24.01,16.92,25.27,64.31,99.44,15.17
1981,1,31,34.5,24.36,16.82,25.65,63.5,99.44,14.94
1981,2,1,34.58,24.56,17.28,26.01,63.44,99.46,14.87
1981,2,2,34.52,24.79,16.83,26.26,63.38,99.42,15.15
1981,2,3,33.73,24.68,17.8,26.18,65.31,99.45,16.04
1981,2,4,32.55,24.53,19.01,25.89,66.75,99.42,16.17
1981,2,5,33.51,25.12,18.4,26.59,66.88,99.54,17.21
1981,2,6,33.19,26.03,20.42,27.55,69.0,99.54,19.08
1981,2,7,34.61,26.66,20.43,28.29,65.62,99.38,18.53
1981,2,8,35.31,26.72,20.68,28.47,63.94,99.3,17.8
1981,2,9,34.52,26.17,19.82,27.79,65.0,99.28,17.33
1981,2,10,36.76,27.48,20.02,29.51,58.44,99.22,16.07
1981,2,11,36.39,27.07,19.97,28.83,56.0,99.17,14.98
1981,2,12,36.3,26.92,19.34,28.98,58.56,99.21,15.75
1981,2,13,36.44,27.12,19.25,29.52,57.31,99.18,15.48
1981,2,14,36.97,27.16,19.57,29.28,55.69,99.24,14.66
1981,2,15,35.76,26.38,19.28,28.28,57.31,99.28,14.94
1981,2,16,35.32,25.55,18.36,27.41,57.0,99.36,13.51
1981,2,17,34.87,24.66,16.74,26.27,55.94,99.43,11.81
1981,2,18,35.35,24.66,16.47,26.45,56.44,99.37,12.38
1981,2,19,35.33,24.87,16.37,26.4,54.88,99.41,12.08
1981,2,20,34.15,24.46,17.71,25.16,63.19,99.42,14.87
1981,2,21,34.58,24.73,17.33,25.8,65.31,99.29,16.08
1981,2,22,34.26,24.87,17.8,26.27,66.19,99.22,16.66
1981,2,23,34.01,25.26,18.38,26.99,64.06,99.35,16.44
1981,2,24,34.95,26.03,18.02,27.8,63.12,99.43,16.81
1981,2,25,36.26,26.12,18.41,27.83,58.25,99.45,14.42
1981,2,26,37.06,25.87,17.05,27.4,55.69,99.39,12.85
1981,2,27,37.26,26.26,16.94,27.65,52.81,99.38,12.73
1981,2,28,37.83,26.74,18.33,28.54,56.31,99.37,13.87
1981,3,1,37.65,27.37,17.95,29.35,57.62,99.43,15.4
