-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/30/1981 through 03/20/2023 
Location: Latitude  8.4798   Longitude 76.921 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 86.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
TS          MERRA-2 Earth Skin Temperature (C) 
RH2M        MERRA-2 Relative Humidity at 2 Meters (%) 
PS          MERRA-2 Surface Pressure (kPa) 
T2MDEW      MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M,T2M_MIN,TS,RH2M,PS,T2MDEW
1981,1,30,30.51,25.83,20.81,26.31,63.0,100.2,17.17
1981,1,31,30.75,25.44,19.42,26.08,63.56,100.22,17.19
1981,2,1,30.55,25.87,20.81,26.5,62.44,100.27,17.62
1981,2,2,31.02,26.71,23.26,27.3,64.0,100.21,18.85
1981,2,3,30.86,26.49,23.01,26.87,60.88,100.2,17.69
1981,2,4,31.39,26.14,21.92,26.98,62.31,100.13,17.68
1981,2,5,30.98,25.97,20.69,27.15,69.06,100.24,19.45
1981,2,6,31.08,26.68,22.91,27.78,70.0,100.24,20.51
1981,2,7,31.01,26.87,23.5,27.48,75.25,100.09,21.85
1981,2,8,31.01,26.99,23.48,27.76,73.31,100.03,21.54
1981,2,9,31.6,27.44,23.32,28.31,70.31,100.01,21.23
1981,2,10,32.15,27.54,23.48,28.61,71.0,100.04,21.36
1981,2,11,31.5,27.72,25.35,28.55,68.12,99.98,20.98
1981,2,12,32.01,27.47,23.43,28.2,63.44,100.03,19.36
1981,2,13,31.67,27.49,24.19,28.52,64.69,100.05,19.86
1981,2,14,31.67,27.76,24.8,29.05,66.88,100.11,20.76
1981,2,15,32.86,28.3,24.61,29.2,63.69,100.04,20.26
1981,2,16,32.33,27.07,22.76,28.09,61.06,100.08,18.29
1981,2,17,32.38,26.9,21.72,27.82,56.25,100.17,16.49
1981,2,18,32.1,26.3,21.06,27.59,55.81,100.13,15.7
1981,2,19,32.05,26.25,20.76,27.55,56.25,100.15,15.48
1981,2,20,32.95,26.62,20.79,27.54,57.88,100.14,16.6
1981,2,21,33.36,26.71,20.22,27.76,60.06,100.0,16.98
1981,2,22,32.93,26.77,20.68,28.16,63.56,99.92,18.33
1981,2,23,32.28,26.53,21.01,28.07,65.0,100.07,18.51
1981,2,24,31.19,26.8,22.51,27.73,67.5,100.17,19.85
1981,2,25,32.27,27.54,23.25,28.55,73.25,100.21,21.94
1981,2,26,33.8,28.43,24.15,29.15,59.5,100.16,18.67
1981,2,27,33.51,28.15,23.76,29.14,61.0,100.19,18.97
1981,2,28,33.52,28.15,23.88,29.31,62.06,100.18,19.25
1981,3,1,33.62,28.45,25.05,29.82,62.88,100.23,20.07
1981,3,2,33.99,28.7,24.13,29.74,62.75,100.16,20.28
1981,3,3,34.36,28.48,23.19,29.31,62.62,100.15,19.86
1981,3,4,34.38,28.42,22.65,29.33,58.0,100.24,18.48
1981,3,5,31.78,27.39,23.54,28.05,61.5,100.22,18.64
1981,3,6,33.09,27.95,22.47,28.81,67.62,100.2,20.95
1981,3,7,33.94,28.83,23.81,29.85,68.06,100.21,21.94
1981,3,8,34.08,29.26,24.97,30.33,67.06,100.16,22.07
1981,3,9,34.35,29.27,24.69,30.26,63.69,100.14,21.17
1981,3,10,34.22,29.2,25.06,30.56,64.44,100.17,21.31
1981,3,11,33.33,28.94,26.25,30.29,66.56,100.2,21.71
1981,3,12,34.16,29.15,25.06,30.48,63.19,100.17,20.87
1981,3,13,34.62,29.28,24.93,30.16,59.44,100.08,19.9
1981,3,14,34.64,29.3,24.15,30.55,62.12,100.12,20.76
1981,3,15,32.96,28.53,24.98,28.89,70.94,100.19,22.48
1981,3,16,33.73,28.99,25.0,30.02,63.5,100.09,20.81
1981,3,17,31.76,28.08,25.27,29.03,72.62,100.02,22.48
1981,3,18,32.28,28.49,25.79,30.16,72.12,99.96,22.73
1981,3,19,33.15,28.98,26.3,30.65,69.19,99.94,22.48
1981,3,20,33.23,29.05,26.16,30.66,70.0,99.95,22.7
1981,3,21,33.77,29.37,26.72,30.9,68.62,99.82,22.69
1981,3,22,33.3,28.85,26.46,30.55,69.81,99.8,22.5
1981,3,23,31.21,28.12,26.11,29.62,75.56,99.78,23.26
1981,3,24,32.86,28.75,25.56,30.13,69.88,99.81,22.4
1981,3,25,32.76,28.85,26.26,30.3,71.44,99.81,22.99
1981,3,26,32.69,29.02,26.88,30.28,70.12,99.81,22.86
1981,3,27,31.9,28.62,26.62,29.65,72.44,99.78,23.01
1981,3,28,32.92,28.85,26.62,29.48,72.25,99.79,23.08
1981,3,29,34.04,29.27,26.17,30.49,67.94,99.91,22.15
1981,3,30,33.79,29.23,26.12,30.61,70.38,99.95,22.82
1981,3,31,32.12,28.81,26.62,30.15,73.38,99.88,23.42
1981,4,1,32.55,29.26,26.92,30.42,73.06,99.81,23.78
1981,4,2,33.0,29.6,27.27,30.45,73.12,99.89,24.11
1981,4,3,30.71,28.34,26.69,28.81,79.56,99.92,24.37
1981,4,4,32.01,28.7,26.34,29.69,77.12,99.87,24.14
1981,4,5,31.73,28.79,26.86,29.93,76.25,99.79,24.06
1981,4,6,32.08,29.04,27.04,29.72,74.75,99.77,23.99
1981,4,7,32.72,29.21,26.45,30.28,74.19,99.76,23.93
1981,4,8,35.12,30.0,26.51,31.32,67.75,99.74,22.67
1981,4,9,34.84,30.06,26.35,31.28,66.75,99.73,22.67
1981,4,10,32.58,28.85,26.76,30.08,74.81,99.71,23.75
1981,4,11,34.01,29.39,26.75,30.78,73.19,99.66,23.76
1981,4,12,30.44,28.37,26.67,28.59,81.0,99.71,24.73
1981,4,13,28.6,27.36,26.45,28.0,86.25,99.89,24.86
1981,4,14,28.48,27.26,26.16,27.95,86.5,99.96,24.82
1981,4,15,29.19,27.81,26.48,28.18,81.31,99.94,24.3
1981,4,16,29.8,28.21,26.98,28.58,81.0,99.92,24.62
1981,4,17,29.96,28.09,26.76,28.51,82.31,99.89,24.76
1981,4,18,30.67,28.25,26.3,28.85,78.88,100.02,24.15
1981,4,19,31.45,28.56,26.59,29.4,74.62,100.14,23.52
1981,4,20,31.27,28.28,26.19,29.25,73.5,100.16,23.0
1981,4,21,30.75,28.07,26.21,29.17,76.31,100.02,23.43
1981,4,22,30.76,28.28,26.52,29.29,77.56,99.95,23.9
1981,4,23,32.41,28.89,26.49,30.05,74.69,99.93,23.77
1981,4,24,32.15,28.79,26.31,30.2,74.25,100.07,23.55
1981,4,25,32.22,28.98,26.72,30.34,72.0,100.05,23.26
1981,4,26,32.7,29.23,26.93,30.48,69.69,100.0,22.9
1981,4,27,31.62,28.77,26.38,29.48,73.56,99.99,23.4
1981,4,28,31.59,28.51,26.85,29.46,74.31,99.98,23.37
1981,4,29,31.45,28.55,26.4,29.79,74.62,99.89,23.47
1981,4,30,31.46,28.75,26.67,29.7,73.69,99.89,23.46
1981,5,1,31.28,28.83,27.11,29.44,74.25,100.01,23.69
1981,5,2,31.18,28.64,27.02,29.43,74.75,100.03,23.6
1981,5,3,30.93,28.28,26.41,29.35,77.12,99.97,23.73
1981,5,4,29.15,27.39,25.96,28.43,80.88,100.01,23.77
1981,5,5,28.55,26.67,24.94,27.54,79.38,99.98,22.79
1981,5,6,29.88,27.53,25.92,28.4,78.25,99.84,23.34
1981,5,7,29.04,27.09,25.59,28.19,81.31,99.76,23.58
1981,5,8,29.51,27.42,26.03,28.43,82.44,99.67,24.14
1981,5,9,29.61,27.65,26.4,28.6,82.69,99.71,24.42
1981,5,10,28.16,27.0,26.29,27.91,86.06,99.75,24.48
1981,5,11,28.36,27.0,26.08,27.72,87.81,99.79,24.81
1981,5,12,28.87,26.83,25.44,27.69,82.88,99.78,23.6
1981,5,13,29.65,27.66,26.07,28.08,82.12,99.7,24.31
1981,5,14,29.39,27.75,26.19,28.15,83.06,99.83,24.6
1981,5,15,28.98,27.76,26.83,28.01,81.56,99.84,24.32
1981,5,16,29.09,27.93,26.89,28.15,84.0,99.7,24.98
1981,5,17,29.79,28.35,27.15,28.43,78.38,99.75,24.21
1981,5,18,28.86,27.83,27.12,28.15,80.25,99.86,24.11
